Entry ID,[Str. pos.],[Str. size],[Str. encoding],Str. value,[Str. data]
14,0x2a94f8,51,Shift_JIS,OSCheckHeap: Failed MINOBJSIZE <= cell->size in %d,"""OSCheckHeap: Failed MINOBJSIZE <= cell->size in %d"""
15,0x2a952c,61,Shift_JIS,"OSCheckHeap: Failed OFFSET(cell->size, ALIGNMENT) == 0 in %d","""OSCheckHeap: Failed OFFSET(cell->size, ALIGNMENT) == 0 in %d"""
16,0x2a956c,57,Shift_JIS,OSCheckHeap: Failed 0 < total && total <= hd->size in %d,"""OSCheckHeap: Failed 0 < total && total <= hd->size in %d"""
17,0x2a95a8,69,Shift_JIS,OSCheckHeap: Failed hd->free == NULL || hd->free->prev == NULL in %d,"""OSCheckHeap: Failed hd->free == NULL || hd->free->prev == NULL in %d"""
18,0x2a95f0,95,Shift_JIS,OSCheckHeap: Failed cell->next == NULL || (char*) cell + cell->size < (char*) cell->next in %d,"""OSCheckHeap: Failed cell->next == NULL || (char*) cell + cell->size < (char*) cell->next in %d"""
19,0x2a9650,44,Shift_JIS,OSCheckHeap: Failed total == hd->size in %d,"""OSCheckHeap: Failed total == hd->size in %d"""
20,0x2a9700,9,Shift_JIS,%s%s.STD,"""%s%s.STD"""
21,0x2a9710,17,Shift_JIS,/sound/m0367.mlt,"""/sound/m0367.mlt"""
22,0x2a9724,25,Shift_JIS,もう一度、挑戦しますか？,"""\x82\xE0\x82\xA4\x88\xEA\x93x\x81A\x92\xA7\x90\xED\x82\xB5\x82\xDC\x82\xB7\x82\xA9\x81H"""
23,0x2a9740,11,Shift_JIS,ME090A.sct,"""ME090A.sct"""
24,0x2a974c,20,Shift_JIS,/sound/m04%02d.samp,"""/sound/m04%02d.samp"""
25,0x2a976c,10,Shift_JIS,s%03d.sml,"""s%03d.sml"""
26,0x2a9778,10,Shift_JIS,s%03d.sst,"""s%03d.sst"""
27,0x2a9784,12,Shift_JIS,stsicon.mld,"""stsicon.mld"""
28,0x2a9790,14,Shift_JIS,s%02d%02d.mld,"""s%02d%02d.mld"""
29,0x2a97a0,14,Shift_JIS,s%03d%02d.mld,"""s%03d%02d.mld"""
30,0x2a97b0,9,Shift_JIS,/battle/,"""/battle/"""
31,0x2a9850,14,Shift_JIS,E99%02d%02d%d,"""E99%02d%02d%d"""
32,0x2a9860,12,Shift_JIS,E99%02d00%d,"""E99%02d00%d"""
33,0x2a986c,13,Shift_JIS,E99%02d%02d0,"""E99%02d%02d0"""
34,0x2a987c,13,Shift_JIS,E99%02d%02d1,"""E99%02d%02d1"""
35,0x2a988c,11,Shift_JIS,E99%02d001,"""E99%02d001"""
36,0x2a9a48,16,Shift_JIS,D%02d%03d00.MLK,"""D%02d%03d00.MLK"""
37,0x2a9a58,10,Shift_JIS,PCWIN.MLK,"""PCWIN.MLK"""
38,0x2a9a64,19,Shift_JIS,%c%02d%03d%02X.MLK,"""%c%02d%03d%02X.MLK"""
39,0x2a9a78,10,Shift_JIS,MA000.MLD,"""MA000.MLD"""
40,0x2a9a84,10,Shift_JIS,ma000.mld,"""ma000.mld"""
41,0x2a9a90,10,Shift_JIS,MA001.MLD,"""MA001.MLD"""
42,0x2a9a9c,10,Shift_JIS,ma001.mld,"""ma001.mld"""
43,0x2a9aa8,10,Shift_JIS,MA002.MLD,"""MA002.MLD"""
44,0x2a9ab4,10,Shift_JIS,ma002.mld,"""ma002.mld"""
45,0x2a9ac0,10,Shift_JIS,MA003.MLD,"""MA003.MLD"""
46,0x2a9acc,10,Shift_JIS,ma003.mld,"""ma003.mld"""
47,0x2a9ad8,10,Shift_JIS,MA004.MLD,"""MA004.MLD"""
48,0x2a9ae4,10,Shift_JIS,ma004.mld,"""ma004.mld"""
49,0x2a9af0,10,Shift_JIS,MA005.MLD,"""MA005.MLD"""
50,0x2a9afc,10,Shift_JIS,ma005.mld,"""ma005.mld"""
51,0x2a9b08,9,Shift_JIS,%s%s.STD,"""%s%s.STD"""
52,0x2a9b18,9,Shift_JIS,ts001010,"""ts001010"""
53,0x2a9b24,9,Shift_JIS,ts001033,"""ts001033"""
54,0x2a9b30,9,Shift_JIS,ts001020,"""ts001020"""
55,0x2a9b3c,9,Shift_JIS,ts001026,"""ts001026"""
56,0x2a9b48,9,Shift_JIS,ts001027,"""ts001027"""
57,0x2a9b84,9,Shift_JIS,/battle/,"""/battle/"""
58,0x2a9b90,12,Shift_JIS,stsicon.mld,"""stsicon.mld"""
59,0x2a9c18,11,Shift_JIS,MA%03d.MLD,"""MA%03d.MLD"""
60,0x2a9c24,28,Shift_JIS,incorrect load chara No[%d],"""incorrect load chara No[%d]"""
61,0x2a9c40,11,Shift_JIS,MB%03d.MLD,"""MB%03d.MLD"""
62,0x2a9c4c,11,Shift_JIS,MG%03d.MLD,"""MG%03d.MLD"""
63,0x2a9c58,13,Shift_JIS,E1800000.MLD,"""E1800000.MLD"""
64,0x2a9c68,15,Shift_JIS,D05000%02X.MLK,"""D05000%02X.MLK"""
65,0x2a9c78,15,Shift_JIS,F05000%02X.MLK,"""F05000%02X.MLK"""
66,0x2a9cc8,18,Shift_JIS,Error: tasSetTask,"""Error: tasSetTask"""
67,0x2a9cdc,24,Shift_JIS,Error: tasSetTask align,"""Error: tasSetTask align"""
68,0x2a9cf4,13,Shift_JIS,E99%02d%02d0,"""E99%02d%02d0"""
69,0x2a9d04,13,Shift_JIS,E99%02d%02d1,"""E99%02d%02d1"""
70,0x2a9d14,12,Shift_JIS,M%c%03d.MLD,"""M%c%03d.MLD"""
71,0x2a9d20,18,Shift_JIS,E%02d%03d%02d.MLD,"""E%02d%03d%02d.MLD"""
72,0x2a9d74,13,Shift_JIS,STV%02d.SAMP,"""STV%02d.SAMP"""
73,0x2a9d84,14,Shift_JIS,B7000000.SAMP,"""B7000000.SAMP"""
74,0x2a9d94,12,Shift_JIS,CR%03d.SAMP,"""CR%03d.SAMP"""
75,0x2a9da0,11,Shift_JIS,CR000.SAMP,"""CR000.SAMP"""
76,0x2a9dac,11,Shift_JIS,CR101.SAMP,"""CR101.SAMP"""
77,0x2a9db8,11,Shift_JIS,CR100.SAMP,"""CR100.SAMP"""
78,0x2a9dc4,10,Shift_JIS,/SOUND/%s,"""/SOUND/%s"""
79,0x2a9dd0,20,Shift_JIS,/SOUND/STV%02d.SAMP,"""/SOUND/STV%02d.SAMP"""
80,0x2a9de4,10,Shift_JIS,KO%04dS%s,"""KO%04dS%s"""
81,0x2a9df0,12,Shift_JIS,B702%04dS%s,"""B702%04dS%s"""
82,0x2a9dfc,10,Shift_JIS,B702%dS%s,"""B702%dS%s"""
83,0x2a9e14,11,Shift_JIS,0123456789,"""0123456789"""
84,0x2a9e20,44,Shift_JIS,Memory Allocate Error(bGetModelPolygonData),"""Memory Allocate Error(bGetModelPolygonData)"""
85,0x2a9e88,15,Shift_JIS,/BCHARA/%s.STD,"""/BCHARA/%s.STD"""
86,0x2a9e98,16,Shift_JIS,/BCHARA/%s0.STD,"""/BCHARA/%s0.STD"""
87,0x2a9ea8,15,Shift_JIS,F05000%02X.MLK,"""F05000%02X.MLK"""
88,0x2a9eb8,9,Shift_JIS,/BEFF/%s,"""/BEFF/%s"""
89,0x2a9ec4,9,Shift_JIS,/BCHARA/,"""/BCHARA/"""
90,0x2a9ee8,5,Shift_JIS,アパ,"""\x83A\x83p"""
91,0x2a9f0c,7,Shift_JIS,アポス,"""\x83A\x83|\x83X"""
92,0x2a9f30,11,Shift_JIS,サイレシャ,"""\x83T\x83C\x83\x8C\x83V\x83\x83"""
93,0x2a9f54,7,Shift_JIS,パニカ,"""\x83p\x83j\x83J"""
94,0x2a9f78,7,Shift_JIS,ダウナ,"""\x83_\x83E\x83i"""
95,0x2a9f9c,9,Shift_JIS,ダウノス,"""\x83_\x83E\x83m\x83X"""
96,0x2a9fc0,7,Shift_JIS,サプラ,"""\x83T\x83v\x83\x89"""
97,0x2a9fe4,9,Shift_JIS,サプリィ,"""\x83T\x83v\x83\x8A\x83B"""
98,0x2aa008,9,Shift_JIS,サプレス,"""\x83T\x83v\x83\x8C\x83X"""
99,0x2aa02c,11,Shift_JIS,サプローネ,"""\x83T\x83v\x83\x8D\x81[\x83l"""
100,0x2aa050,7,Shift_JIS,プワザ,"""\x83v\x83\x8F\x83U"""
101,0x2aa074,11,Shift_JIS,プワゾーク,"""\x83v\x83\x8F\x83]\x81[\x83N"""
102,0x2aa098,9,Shift_JIS,スリーパ,"""\x83X\x83\x8A\x81[\x83p"""
103,0x2aa0bc,9,Shift_JIS,クイッカ,"""\x83N\x83C\x83b\x83J"""
104,0x2aa0e0,7,Shift_JIS,キュア,"""\x83L\x83\x85\x83A"""
105,0x2aa104,7,Shift_JIS,ライザ,"""\x83\x89\x83C\x83U"""
106,0x2aa128,9,Shift_JIS,ライゾン,"""\x83\x89\x83C\x83]\x83\x93"""
107,0x2aa14c,7,Shift_JIS,ジェダ,"""\x83W\x83F\x83_"""
108,0x2aa170,9,Shift_JIS,ジェデス,"""\x83W\x83F\x83f\x83X"""
109,0x2aa194,11,Shift_JIS,ジェドーサ,"""\x83W\x83F\x83h\x81[\x83T"""
110,0x2aa1b8,9,Shift_JIS,ウェイバ,"""\x83E\x83F\x83C\x83o"""
111,0x2aa1dc,11,Shift_JIS,ウェイビィ,"""\x83E\x83F\x83C\x83r\x83B"""
112,0x2aa200,11,Shift_JIS,ウェボーン,"""\x83E\x83F\x83{\x81[\x83\x93"""
113,0x2aa224,7,Shift_JIS,バーナ,"""\x83o\x81[\x83i"""
114,0x2aa248,9,Shift_JIS,バーニィ,"""\x83o\x81[\x83j\x83B"""
115,0x2aa26c,9,Shift_JIS,バーネス,"""\x83o\x81[\x83l\x83X"""
116,0x2aa290,9,Shift_JIS,グラシャ,"""\x83O\x83\x89\x83V\x83\x83"""
117,0x2aa2b4,9,Shift_JIS,グラシィ,"""\x83O\x83\x89\x83V\x83B"""
118,0x2aa2d8,11,Shift_JIS,グラシェス,"""\x83O\x83\x89\x83V\x83F\x83X"""
119,0x2aa2fc,11,Shift_JIS,グラゾーバ,"""\x83O\x83\x89\x83]\x81[\x83o"""
120,0x2aa320,11,Shift_JIS,バーノーン,"""\x83o\x81[\x83m\x81[\x83\x93"""
121,0x2aa344,11,Shift_JIS,ウェイベス,"""\x83E\x83F\x83C\x83x\x83X"""
122,0x2aa368,7,Shift_JIS,ボルタ,"""\x83{\x83\x8B\x83^"""
123,0x2aa38c,9,Shift_JIS,ボルティ,"""\x83{\x83\x8B\x83e\x83B"""
124,0x2aa3b0,9,Shift_JIS,ボルテス,"""\x83{\x83\x8B\x83e\x83X"""
125,0x2aa3d4,11,Shift_JIS,ボルドーラ,"""\x83{\x83\x8B\x83h\x81[\x83\x89"""
126,0x2aa3f8,11,Shift_JIS,火山弾乱舞,"""\x89\xCE\x8ER\x92e\x97\x90\x95\x91"""
127,0x2aa41c,11,Shift_JIS,石化灰噴霧,"""\x90\xCE\x89\xBB\x8AD\x95\xAC\x96\xB6"""
128,0x2aa440,17,Shift_JIS,フェザーティアー,"""\x83t\x83F\x83U\x81[\x83e\x83B\x83A\x81["""
129,0x2aa464,5,Shift_JIS,欠番,"""\x8C\x87\x94\xD4"""
130,0x2aa488,9,Shift_JIS,レーザー,"""\x83\x8C\x81[\x83U\x81["""
131,0x2aa4ac,5,Shift_JIS,怒雷,"""\x93{\x97\x8B"""
132,0x2aa4d0,5,Shift_JIS,欠番,"""\x8C\x87\x94\xD4"""
133,0x2aa4f4,13,Shift_JIS,パニカリング,"""\x83p\x83j\x83J\x83\x8A\x83\x93\x83O"""
134,0x2aa518,15,Shift_JIS,スリーパリング,"""\x83X\x83\x8A\x81[\x83p\x83\x8A\x83\x93\x83O"""
135,0x2aa53c,17,Shift_JIS,ターゲットサーチ,"""\x83^\x81[\x83Q\x83b\x83g\x83T\x81[\x83`"""
136,0x2aa560,5,Shift_JIS,欠番,"""\x8C\x87\x94\xD4"""
137,0x2aa584,15,Shift_JIS,キャノンボール,"""\x83L\x83\x83\x83m\x83\x93\x83{\x81[\x83\x8B"""
138,0x2aa5a8,15,Shift_JIS,チェックメイト,"""\x83`\x83F\x83b\x83N\x83\x81\x83C\x83g"""
139,0x2aa5cc,9,Shift_JIS,チャージ,"""\x83`\x83\x83\x81[\x83W"""
140,0x2aa5f0,11,Shift_JIS,毒ガス爆弾,"""\x93\xC5\x83K\x83X\x94\x9A\x92e"""
141,0x2aa614,11,Shift_JIS,石化ブレス,"""\x90\xCE\x89\xBB\x83u\x83\x8C\x83X"""
142,0x2aa638,5,Shift_JIS,欠番,"""\x8C\x87\x94\xD4"""
143,0x2aa65c,13,Shift_JIS,乱射キャノン,"""\x97\x90\x8E\xCB\x83L\x83\x83\x83m\x83\x93"""
144,0x2aa680,5,Shift_JIS,欠番,"""\x8C\x87\x94\xD4"""
145,0x2aa6a4,11,Shift_JIS,反撃の構え,"""\x94\xBD\x8C\x82\x82\xCC\x8D\\\x82\xA6"""
146,0x2aa6c8,7,Shift_JIS,ためる,"""\x82\xBD\x82\xDF\x82\xE9"""
147,0x2aa6ec,13,Shift_JIS,イアイチュン,"""\x83C\x83A\x83C\x83`\x83\x85\x83\x93"""
148,0x2aa710,5,Shift_JIS,発破,"""\x94\xAD\x94j"""
149,0x2aa734,13,Shift_JIS,テルミナール,"""\x83e\x83\x8B\x83~\x83i\x81[\x83\x8B"""
150,0x2aa758,17,Shift_JIS,デヴォルヴェール,"""\x83f\x83\x94\x83H\x83\x8B\x83\x94\x83F\x81[\x83\x8B"""
151,0x2aa77c,7,Shift_JIS,毒ゲロ,"""\x93\xC5\x83Q\x83\x8D"""
152,0x2aa7a0,9,Shift_JIS,花葬の舞,"""\x89\xD4\x91\x92\x82\xCC\x95\x91"""
153,0x2aa7c4,17,Shift_JIS,大艦巨砲キャノン,"""\x91\xE5\x8A\xCD\x8B\x90\x96C\x83L\x83\x83\x83m\x83\x93"""
154,0x2aa7e8,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
155,0x2aa80c,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
156,0x2aa830,17,Shift_JIS,スプレーキャノン,"""\x83X\x83v\x83\x8C\x81[\x83L\x83\x83\x83m\x83\x93"""
157,0x2aa854,17,Shift_JIS,ソリッドレーザー,"""\x83\\\x83\x8A\x83b\x83h\x83\x8C\x81[\x83U\x81["""
158,0x2aa878,17,Shift_JIS,トゥームレーザー,"""\x83g\x83D\x81[\x83\x80\x83\x8C\x81[\x83U\x81["""
159,0x2aa89c,13,Shift_JIS,デスレーザー,"""\x83f\x83X\x83\x8C\x81[\x83U\x81["""
160,0x2aa8c0,11,Shift_JIS,様子を見る,"""\x97l\x8Eq\x82\xF0\x8C\xA9\x82\xE9"""
161,0x2aa8e4,5,Shift_JIS,欠番,"""\x8C\x87\x94\xD4"""
162,0x2aa908,11,Shift_JIS,ナンジャー,"""\x83i\x83\x93\x83W\x83\x83\x81["""
163,0x2aa92c,7,Shift_JIS,ガッツ,"""\x83K\x83b\x83c"""
164,0x2aa950,9,Shift_JIS,永久凍結,"""\x89i\x8Bv\x93\x80\x8C\x8B"""
165,0x2aa974,5,Shift_JIS,落雷,"""\x97\x8E\x97\x8B"""
166,0x2aa998,11,Shift_JIS,疲労かぶり,"""\x94\xE6\x98J\x82\xA9\x82\xD4\x82\xE8"""
167,0x2aa9bc,15,Shift_JIS,おやすみなさい,"""\x82\xA8\x82\xE2\x82\xB7\x82\xDD\x82\xC8\x82\xB3\x82\xA2"""
168,0x2aa9e0,15,Shift_JIS,アバランチャー,"""\x83A\x83o\x83\x89\x83\x93\x83`\x83\x83\x81["""
169,0x2aaa04,13,Shift_JIS,銀色の光と闇,"""\x8B\xE2\x90F\x82\xCC\x8C\xF5\x82\xC6\x88\xC5"""
170,0x2aaa28,11,Shift_JIS,フリムーン,"""\x83t\x83\x8A\x83\x80\x81[\x83\x93"""
171,0x2aaa4c,13,Shift_JIS,ターン回復技,"""\x83^\x81[\x83\x93\x89\xF1\x95\x9C\x8BZ"""
172,0x2aaa70,13,Shift_JIS,銀世界の破滅,"""\x8B\xE2\x90\xA2\x8AE\x82\xCC\x94j\x96\xC5"""
173,0x2aaa94,15,Shift_JIS,カタカタ震える,"""\x83J\x83^\x83J\x83^\x90k\x82\xA6\x82\xE9"""
174,0x2aaab8,13,Shift_JIS,銀の無限凍土,"""\x8B\xE2\x82\xCC\x96\xB3\x8C\xC0\x93\x80\x93y"""
175,0x2aaadc,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
176,0x2aab00,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
177,0x2aab24,13,Shift_JIS,エクスプロア,"""\x83G\x83N\x83X\x83v\x83\x8D\x83A"""
178,0x2aab48,7,Shift_JIS,石化液,"""\x90\xCE\x89\xBB\x89t"""
179,0x2aab6c,11,Shift_JIS,ブリザーダ,"""\x83u\x83\x8A\x83U\x81[\x83_"""
180,0x2aab90,13,Shift_JIS,デスマリッジ,"""\x83f\x83X\x83}\x83\x8A\x83b\x83W"""
181,0x2aabb4,11,Shift_JIS,エンゲイジ,"""\x83G\x83\x93\x83Q\x83C\x83W"""
182,0x2aabd8,15,Shift_JIS,ブライサンダー,"""\x83u\x83\x89\x83C\x83T\x83\x93\x83_\x81["""
183,0x2aabfc,13,Shift_JIS,あやしい音波,"""\x82\xA0\x82\xE2\x82\xB5\x82\xA2\x89\xB9\x94g"""
184,0x2aac20,11,Shift_JIS,様子を見る,"""\x97l\x8Eq\x82\xF0\x8C\xA9\x82\xE9"""
185,0x2aac44,13,Shift_JIS,デスマリッジ,"""\x83f\x83X\x83}\x83\x8A\x83b\x83W"""
186,0x2aac68,11,Shift_JIS,投げキッス,"""\x93\x8A\x82\xB0\x83L\x83b\x83X"""
187,0x2aac8c,17,Shift_JIS,ソリッドレーザー,"""\x83\\\x83\x8A\x83b\x83h\x83\x8C\x81[\x83U\x81["""
188,0x2aacb0,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
189,0x2aacd4,9,Shift_JIS,腹ごなし,"""\x95\xA0\x82\xB2\x82\xC8\x82\xB5"""
190,0x2aacf8,11,Shift_JIS,疲労かぶり,"""\x94\xE6\x98J\x82\xA9\x82\xD4\x82\xE8"""
191,0x2aad1c,11,Shift_JIS,ネグローラ,"""\x83l\x83O\x83\x8D\x81[\x83\x89"""
192,0x2aad40,11,Shift_JIS,フィサーン,"""\x83t\x83B\x83T\x81[\x83\x93"""
193,0x2aad64,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
194,0x2aad88,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
195,0x2aadac,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
196,0x2aadd0,11,Shift_JIS,手りゅう弾,"""\x8E\xE8\x82\xE8\x82\xE3\x82\xA4\x92e"""
197,0x2aadf4,11,Shift_JIS,毒ガス爆弾,"""\x93\xC5\x83K\x83X\x94\x9A\x92e"""
198,0x2aae18,13,Shift_JIS,サプハネの葉,"""\x83T\x83v\x83n\x83l\x82\xCC\x97t"""
199,0x2aae3c,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
200,0x2aae60,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
201,0x2aae84,15,Shift_JIS,ディスチャージ,"""\x83f\x83B\x83X\x83`\x83\x83\x81[\x83W"""
202,0x2aaea8,17,Shift_JIS,タタティモルット,"""\x83^\x83^\x83e\x83B\x83\x82\x83\x8B\x83b\x83g"""
203,0x2aaecc,15,Shift_JIS,ラウンドクロウ,"""\x83\x89\x83E\x83\x93\x83h\x83N\x83\x8D\x83E"""
204,0x2aaef0,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
205,0x2aaf14,9,Shift_JIS,サプの葉,"""\x83T\x83v\x82\xCC\x97t"""
206,0x2aaf38,13,Shift_JIS,サプガンの葉,"""\x83T\x83v\x83K\x83\x93\x82\xCC\x97t"""
207,0x2aaf5c,13,Shift_JIS,サプヤクの葉,"""\x83T\x83v\x83\x84\x83N\x82\xCC\x97t"""
208,0x2aaf80,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
209,0x2aafa4,11,Shift_JIS,銀色の悪夢,"""\x8B\xE2\x90F\x82\xCC\x88\xAB\x96\xB2"""
210,0x2aafc8,17,Shift_JIS,果てなき銀の呪縛,"""\x89\xCA\x82\xC4\x82\xC8\x82\xAB\x8B\xE2\x82\xCC\x8E\xF4\x94\x9B"""
211,0x2aafec,11,Shift_JIS,ターン回復,"""\x83^\x81[\x83\x93\x89\xF1\x95\x9C"""
212,0x2ab010,13,Shift_JIS,銀世界の終〒,"""\x8B\xE2\x90\xA2\x8AE\x82\xCC\x8FI\x81\xA7"""
213,0x2ab034,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
214,0x2ab058,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
215,0x2ab07c,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
216,0x2ab0a0,13,Shift_JIS,銀色の光と闇,"""\x8B\xE2\x90F\x82\xCC\x8C\xF5\x82\xC6\x88\xC5"""
217,0x2ab0c4,17,Shift_JIS,使ってないよねえ,"""\x8Eg\x82\xC1\x82\xC4\x82\xC8\x82\xA2\x82\xE6\x82\xCB\x82\xA6"""
218,0x2ab0e8,11,Shift_JIS,疲労ブレス,"""\x94\xE6\x98J\x83u\x83\x8C\x83X"""
219,0x2ab10c,11,Shift_JIS,疲労ブレス,"""\x94\xE6\x98J\x83u\x83\x8C\x83X"""
220,0x2ab130,9,Shift_JIS,銀の恵み,"""\x8B\xE2\x82\xCC\x8Cb\x82\xDD"""
221,0x2ab154,7,Shift_JIS,ダミー,"""\x83_\x83~\x81["""
222,0x2ab178,5,Shift_JIS,欠番,"""\x8C\x87\x94\xD4"""
223,0x2ab19c,17,Shift_JIS,エマージェンシー,"""\x83G\x83}\x81[\x83W\x83F\x83\x93\x83V\x81["""
224,0x2ab1c0,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
225,0x2ab1e4,11,Shift_JIS,ブラスター,"""\x83u\x83\x89\x83X\x83^\x81["""
226,0x2ab208,7,Shift_JIS,Ж術？,"""\x84G\x8Fp\x81H"""
227,0x2ab22c,13,Shift_JIS,予備ブランク,"""\x97\\\x94\xF5\x83u\x83\x89\x83\x93\x83N"""
228,0x2ab250,13,Shift_JIS,予備ブランク,"""\x97\\\x94\xF5\x83u\x83\x89\x83\x93\x83N"""
229,0x2ab274,13,Shift_JIS,予備ブランク,"""\x97\\\x94\xF5\x83u\x83\x89\x83\x93\x83N"""
230,0x2ab298,13,Shift_JIS,予備ブランク,"""\x97\\\x94\xF5\x83u\x83\x89\x83\x93\x83N"""
231,0x2ab2bc,13,Shift_JIS,予備ブランク,"""\x97\\\x94\xF5\x83u\x83\x89\x83\x93\x83N"""
232,0x2ab2e0,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
233,0x2ab304,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
234,0x2ab328,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
235,0x2ab34c,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
236,0x2ab370,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
237,0x2ab394,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
238,0x2ab3b8,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
239,0x2ab3dc,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
240,0x2ab400,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
241,0x2ab424,11,Shift_JIS,仲間を呼ぶ,"""\x92\x87\x8A\xD4\x82\xF0\x8C\xC4\x82\xD4"""
242,0x2ab448,15,Shift_JIS,バイリキの秘薬,"""\x83o\x83C\x83\x8A\x83L\x82\xCC\x94\xE9\x96\xF2"""
243,0x2ab46c,15,Shift_JIS,バイソクの秘薬,"""\x83o\x83C\x83\\\x83N\x82\xCC\x94\xE9\x96\xF2"""
244,0x2ab490,13,Shift_JIS,サプガンの葉,"""\x83T\x83v\x83K\x83\x93\x82\xCC\x97t"""
