Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value,[Str Data]
17,0x332a98,22,Shift_JIS,MIDI PORT RESET ERROR,"""MIDI PORT RESET ERROR"""
18,0x332ab0,28,Shift_JIS,Sound sdSysSetSlotMax Error,"""Sound sdSysSetSlotMax Error"""
19,0x332acc,26,Shift_JIS,Sound MLT Down Load Error,"""Sound MLT Down Load Error"""
20,0x332ae8,5,Shift_JIS,SMSB,"""SMSB"""
21,0x332af0,5,Shift_JIS,SMPB,"""SMPB"""
22,0x332af8,23,Shift_JIS,MLT File Is Illegal %s,"""MLT File Is Illegal %s"""
23,0x332b10,32,Shift_JIS,Sound Bank Data Down Load Error,"""Sound Bank Data Down Load Error"""
24,0x332b30,19,Shift_JIS,Sound Fx Set Error,"""Sound Fx Set Error"""
25,0x332b44,24,Shift_JIS,MIDI RELEASE MODE ERROR,"""MIDI RELEASE MODE ERROR"""
26,0x332b5c,23,Shift_JIS,Sound SHOT Close Error,"""Sound SHOT Close Error"""
27,0x332b74,22,Shift_JIS,Sound PCM Close Error,"""Sound PCM Close Error"""
28,0x332b8c,13,Shift_JIS,Bank 0 Error,"""Bank 0 Error"""
29,0x332b9c,23,Shift_JIS,Sound Get Status Error,"""Sound Get Status Error"""
30,0x332bb4,27,Shift_JIS,Sound Midi Reset Prm Error,"""Sound Midi Reset Prm Error"""
31,0x332bd0,27,Shift_JIS,Sound Shot Reset Prm Error,"""Sound Shot Reset Prm Error"""
32,0x332bec,26,Shift_JIS,Sound PCM Reset Prm Error,"""Sound PCM Reset Prm Error"""
33,0x332c08,17,Shift_JIS,Sound Play Error,"""Sound Play Error"""
34,0x332c1c,11,Shift_JIS,Bank Error,"""Bank Error"""
35,0x332c28,26,Shift_JIS,Sound PCM Down Load Error,"""Sound PCM Down Load Error"""
36,0x332c44,23,Shift_JIS,Sound Pcm Status Error,"""Sound Pcm Status Error"""
37,0x332c5c,21,Shift_JIS,Sound Pcm Play Error,"""Sound Pcm Play Error"""
38,0x332c74,23,Shift_JIS,Sound MIDI Pause Error,"""Sound MIDI Pause Error"""
39,0x332c8c,22,Shift_JIS,Sound MIDI Fade Error,"""Sound MIDI Fade Error"""
40,0x332ca4,22,Shift_JIS,Sound SHOT Fade Error,"""Sound SHOT Fade Error"""
41,0x332cbc,26,Shift_JIS,Sound PCM Fade Error Left,"""Sound PCM Fade Error Left"""
42,0x332cd8,27,Shift_JIS,Sound PCM Fade Error Right,"""Sound PCM Fade Error Right"""
43,0x332cf4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
44,0x332cfc,25,Shift_JIS,MLT FAST HANDLE IS EMPTY,"""MLT FAST HANDLE IS EMPTY"""
45,0x332d18,22,Shift_JIS,MLT FAST HANDLE ERROR,"""MLT FAST HANDLE ERROR"""
46,0x332d30,3,Shift_JIS,%s,"""%s"""
47,0x332d34,5,Shift_JIS,GAME,"""GAME"""
48,0x332d3d,7,Shift_JIS,CAMERA,"""CAMERA"""
49,0x332d46,8,Shift_JIS,LIGHT 0,"""LIGHT 0"""
50,0x332d4f,8,Shift_JIS,LIGHT 1,"""LIGHT 1"""
51,0x332d58,8,Shift_JIS,LIGHT 2,"""LIGHT 2"""
52,0x332d61,9,Shift_JIS,MURABITO,"""MURABITO"""
53,0x332d6c,15,Shift_JIS,DEBUG MODE   -,"""DEBUG MODE   -"""
54,0x332d7c,15,Shift_JIS,Calc Vertex  -,"""Calc Vertex  -"""
55,0x332d8c,15,Shift_JIS,Calc Polygon -,"""Calc Polygon -"""
56,0x332d9c,15,Shift_JIS,Draw Polygon -,"""Draw Polygon -"""
57,0x332dac,15,Shift_JIS,FPS          -,"""FPS          -"""
58,0x332dbc,15,Shift_JIS,TEXTURE      -,"""TEXTURE      -"""
59,0x332dcc,15,Shift_JIS,VIEW POS     -,"""VIEW POS     -"""
60,0x332ddc,15,Shift_JIS,PURSUIT POS  -,"""PURSUIT POS  -"""
61,0x332dec,15,Shift_JIS,VIEW ANG     -,"""VIEW ANG     -"""
62,0x332dfc,15,Shift_JIS,PURSUIT ANG  -,"""PURSUIT ANG  -"""
63,0x332e0c,15,Shift_JIS,DISTANCE     -,"""DISTANCE     -"""
64,0x332e1c,15,Shift_JIS,PERS         -,"""PERS         -"""
65,0x332e2c,15,Shift_JIS,LIGHT NUM    -,"""LIGHT NUM    -"""
66,0x332e3c,15,Shift_JIS,LIGHT POS    -,"""LIGHT POS    -"""
67,0x332e4c,15,Shift_JIS,LIGHT VECTOR -,"""LIGHT VECTOR -"""
68,0x332e5c,15,Shift_JIS,AMBIENT      -,"""AMBIENT      -"""
69,0x332e6c,15,Shift_JIS,DEFFUSE      -,"""DEFFUSE      -"""
70,0x332e7c,15,Shift_JIS,SPECULAR     -,"""SPECULAR     -"""
71,0x332e8c,19,Shift_JIS,UP    - PLAYER Z +,"""UP    - PLAYER Z +"""
72,0x332ea0,19,Shift_JIS,DOWN  - PLAYER Z -,"""DOWN  - PLAYER Z -"""
73,0x332eb4,19,Shift_JIS,LEFT  - PLAYER X +,"""LEFT  - PLAYER X +"""
74,0x332ec8,19,Shift_JIS,RIGHT - PLAYER X -,"""RIGHT - PLAYER X -"""
75,0x332edc,27,Shift_JIS,L BTN - VIEW 45 LEFT  TURN,"""L BTN - VIEW 45 LEFT  TURN"""
76,0x332ef8,27,Shift_JIS,R BTN - VIEW 45 RIGHT TURN,"""R BTN - VIEW 45 RIGHT TURN"""
77,0x332f14,25,Shift_JIS,X BTN - VIEW MODE CHANGE,"""X BTN - VIEW MODE CHANGE"""
78,0x332f30,30,Shift_JIS,Y BTN - DEBUG INDICATE SWITCH,"""Y BTN - DEBUG INDICATE SWITCH"""
79,0x332f50,26,Shift_JIS,Z BTN - DEBUG MODE CHANGE,"""Z BTN - DEBUG MODE CHANGE"""
80,0x332f6c,23,Shift_JIS,START - DUNGEON CHANGE,"""START - DUNGEON CHANGE"""
81,0x332f84,23,Shift_JIS,UP    - PLAYER ADVANCE,"""UP    - PLAYER ADVANCE"""
82,0x332f9c,25,Shift_JIS,LEFT  - PLAYER TURN LEFT,"""LEFT  - PLAYER TURN LEFT"""
83,0x332fb8,26,Shift_JIS,RIGHT - PLAYER TURN RIGHT,"""RIGHT - PLAYER TURN RIGHT"""
84,0x332fd4,25,Shift_JIS,L BTN - VIEW MODE CHANGE,"""L BTN - VIEW MODE CHANGE"""
85,0x332ff0,17,Shift_JIS,UP    - X ROLL -,"""UP    - X ROLL -"""
86,0x333004,17,Shift_JIS,DOWN  - X ROLL +,"""DOWN  - X ROLL +"""
87,0x333018,17,Shift_JIS,LEFT  - Y ROLL -,"""LEFT  - Y ROLL -"""
88,0x33302c,17,Shift_JIS,RIGHT - Y ROLL +,"""RIGHT - Y ROLL +"""
89,0x333040,17,Shift_JIS,L BTN - PERS FAR,"""L BTN - PERS FAR"""
90,0x333054,18,Shift_JIS,R BTN - PERS NEAR,"""R BTN - PERS NEAR"""
91,0x333068,22,Shift_JIS,A BTN - DISTANCE NEAR,"""A BTN - DISTANCE NEAR"""
92,0x333080,21,Shift_JIS,X BTN - DISTANCE FAR,"""X BTN - DISTANCE FAR"""
93,0x333098,12,Shift_JIS,Y BTN - Y +,"""Y BTN - Y +"""
94,0x3330a4,12,Shift_JIS,B BTN - Y -,"""B BTN - Y -"""
95,0x3330b0,13,Shift_JIS,START - EXIT,"""START - EXIT"""
96,0x3330c0,12,Shift_JIS,UP    - Z +,"""UP    - Z +"""
97,0x3330cc,12,Shift_JIS,DOWN  - Z -,"""DOWN  - Z -"""
98,0x3330d8,12,Shift_JIS,LEFT  - X +,"""LEFT  - X +"""
99,0x3330e4,12,Shift_JIS,RIGHT - X -,"""RIGHT - X -"""
100,0x3330f0,17,Shift_JIS,L BTN - Y ROLL +,"""L BTN - Y ROLL +"""
101,0x333104,17,Shift_JIS,R BTN - Y ROLL -,"""R BTN - Y ROLL -"""
102,0x333118,17,Shift_JIS,X BTN - X ROLL +,"""X BTN - X ROLL +"""
103,0x33312c,17,Shift_JIS,A BTN - X ROLL -,"""A BTN - X ROLL -"""
104,0x333140,19,Shift_JIS,Z BTN - RESET VIEW,"""Z BTN - RESET VIEW"""
105,0x333154,12,Shift_JIS,UP    - Z -,"""UP    - Z -"""
106,0x333160,12,Shift_JIS,DOWN  - Z +,"""DOWN  - Z +"""
107,0x33316c,12,Shift_JIS,LEFT  - X -,"""LEFT  - X -"""
108,0x333178,12,Shift_JIS,RIGHT - X +,"""RIGHT - X +"""
109,0x333184,18,Shift_JIS,UP    - LIGHT Z +,"""UP    - LIGHT Z +"""
110,0x333198,18,Shift_JIS,DOWN  - LIGHT Z -,"""DOWN  - LIGHT Z -"""
111,0x3331ac,18,Shift_JIS,LEFT  - LIGHT X +,"""LEFT  - LIGHT X +"""
112,0x3331c0,18,Shift_JIS,RIGHT - LIGHT X -,"""RIGHT - LIGHT X -"""
113,0x3331d4,18,Shift_JIS,R BTN - LIGHT Y +,"""R BTN - LIGHT Y +"""
114,0x3331e8,18,Shift_JIS,L BTN - LIGHT Y -,"""L BTN - LIGHT Y -"""
115,0x3331fc,19,Shift_JIS,A BTN - AMBIENT UP,"""A BTN - AMBIENT UP"""
116,0x333210,19,Shift_JIS,B BTN - DEFFUSE UP,"""B BTN - DEFFUSE UP"""
117,0x333224,17,Shift_JIS,C BTN - SPECULAR,"""C BTN - SPECULAR"""
118,0x333238,21,Shift_JIS,X BTN - LIGHT SWITCH,"""X BTN - LIGHT SWITCH"""
119,0x333250,34,Shift_JIS,(L BTN)+(R BTN) - DELETE MURABITO,"""(L BTN)+(R BTN) - DELETE MURABITO"""
120,0x333274,22,Shift_JIS,A BTN - SET MUARABITO,"""A BTN - SET MUARABITO"""
121,0x33328c,4,Shift_JIS,%1d,"""%1d"""
122,0x333290,6,Shift_JIS,%3.2f,"""%3.2f"""
123,0x333298,4,Shift_JIS,%3d,"""%3d"""
124,0x33329c,15,Shift_JIS,INFOMATION ON ,"""INFOMATION ON """
125,0x3332ac,13,Shift_JIS,STAGE SELECT,"""STAGE SELECT"""
126,0x3332bc,10,Shift_JIS,GAME MODE,"""GAME MODE"""
127,0x3332c8,12,Shift_JIS,CAMERA MODE,"""CAMERA MODE"""
128,0x3332d4,11,Shift_JIS,LIGHT MODE,"""LIGHT MODE"""
129,0x3332e0,9,Shift_JIS,FOG MENU,"""FOG MENU"""
130,0x3332ec,13,Shift_JIS,START = EXIT,"""START = EXIT"""
131,0x3332fc,14,Shift_JIS,CAMERA MODE 0,"""CAMERA MODE 0"""
132,0x33330c,12,Shift_JIS,PURSUIT INF,"""PURSUIT INF"""
133,0x333318,9,Shift_JIS,VIEW INF,"""VIEW INF"""
134,0x333324,10,Shift_JIS,ALL RESET,"""ALL RESET"""
135,0x333330,8,Shift_JIS,FOG OFF,"""FOG OFF"""
136,0x333338,16,Shift_JIS,NEAR    -1.0000,"""NEAR    -1.0000"""
137,0x333348,16,Shift_JIS,FAR   -100.0000,"""FAR   -100.0000"""
138,0x333358,12,Shift_JIS,RED     255,"""RED     255"""
139,0x333364,12,Shift_JIS,GREEN   255,"""GREEN   255"""
140,0x333370,12,Shift_JIS,BULE    255,"""BULE    255"""
141,0x33337c,16,Shift_JIS,\\sound\\m04s.p16,"""\\sound\\m04s.p16"""
142,0x3333e4,15,Shift_JIS,\\ending\\sr.mll,"""\\ending\\sr.mll"""
143,0x3333f4,17,Shift_JIS,\\ending\\srok.mll,"""\\ending\\srok.mll"""
144,0x333408,18,Shift_JIS,\\ending\\staff.mld,"""\\ending\\staff.mld"""
145,0x3338f4,25,Shift_JIS,Call Back Hooking Failed,"""Call Back Hooking Failed"""
146,0x333910,24,Shift_JIS,Call Back Delete Failed,"""Call Back Delete Failed"""
147,0x333928,32,Shift_JIS,FioInit Error (memory allocate),"""FioInit Error (memory allocate)"""
148,0x333948,36,Shift_JIS,FioOpen Error (memory allocate): %s,"""FioOpen Error (memory allocate): %s"""
149,0x33396c,18,Shift_JIS,FioOpen Error: %s,"""FioOpen Error: %s"""
150,0x333980,33,Shift_JIS,FioOpen Error (File Size): %s %d,"""FioOpen Error (File Size): %s %d"""
151,0x3339a4,35,Shift_JIS,FioReadReq Error (memory allocate),"""FioReadReq Error (memory allocate)"""
152,0x3339c8,8,Shift_JIS,a299a01,"""a299a01"""
153,0x3339d0,37,Shift_JIS,Fio Auto Error (memory allocate): %s,"""Fio Auto Error (memory allocate): %s"""
154,0x3339f8,41,Shift_JIS,Fio Stream Error (memory allocate 1): %s,"""Fio Stream Error (memory allocate 1): %s"""
155,0x333a24,30,Shift_JIS,Fio Stream Link Nothing Error,"""Fio Stream Link Nothing Error"""
156,0x333a44,24,Shift_JIS,File Seek Origin Error:,"""File Seek Origin Error:"""
157,0x333a5c,23,Shift_JIS,File Seek Error: %d %d,"""File Seek Error: %d %d"""
158,0x333a74,3,Shift_JIS,..,""".."""
159,0x333a80,31,Shift_JIS,Move Root Dir Error : %s %d %d,"""Move Root Dir Error : %s %d %d"""
160,0x333aa0,26,Shift_JIS,Move Dir Error : %s %d %d,"""Move Dir Error : %s %d %d"""
161,0x333abc,30,Shift_JIS,Move Cache Error : %s - %d %d,"""Move Cache Error : %s - %d %d"""
162,0x333adc,17,Shift_JIS,LIGHT TRAP ERROR,"""LIGHT TRAP ERROR"""
163,0x333af0,23,Shift_JIS,LIGHT STACK OVER ERROR,"""LIGHT STACK OVER ERROR"""
164,0x333b08,24,Shift_JIS,LIGHT STACK UNDER ERROR,"""LIGHT STACK UNDER ERROR"""
165,0x333b20,26,Shift_JIS,SCRIPT LIGHT NUMBER ERROR,"""SCRIPT LIGHT NUMBER ERROR"""
166,0x333b3c,26,Shift_JIS,CHANGE VERTEX COLOR START,"""CHANGE VERTEX COLOR START"""
167,0x333b58,3,Shift_JIS,rb,"""rb"""
168,0x333b5c,25,Shift_JIS,MLD FAST HANDLE IS EMPTY,"""MLD FAST HANDLE IS EMPTY"""
169,0x333b78,35,Shift_JIS,mldTaskLoadMldDataAll Malloc Error,"""mldTaskLoadMldDataAll Malloc Error"""
170,0x333b9c,22,Shift_JIS,MLD FAST HANDLE ERROR,"""MLD FAST HANDLE ERROR"""
171,0x333bb4,12,Shift_JIS,Aug 23 2000,"""Aug 23 2000"""
172,0x333bc0,9,Shift_JIS,13:29:21,"""13:29:21"""
173,0x333bcc,14,Shift_JIS,01%02d45-7890,"""01%02d45-7890"""
174,0x333bdc,22,Shift_JIS,memory allocate error,"""memory allocate error"""
175,0x333bf4,18,Shift_JIS,Config Init Error,"""Config Init Error"""
176,0x333c08,18,Shift_JIS,Config Exit Error,"""Config Exit Error"""
177,0x333c1c,12,Shift_JIS,\\bonito.drv,"""\\bonito.drv"""
178,0x333c28,22,Shift_JIS,VertexEntryBufferOver,"""VertexEntryBufferOver"""
179,0x333c40,17,Shift_JIS,VertexBufferOver,"""VertexBufferOver"""
180,0x333c54,17,Shift_JIS,MatrixBufferOver,"""MatrixBufferOver"""
181,0x333c68,16,Shift_JIS,ShapeBufferOver,"""ShapeBufferOver"""
182,0x333c78,13,Shift_JIS,\\aresnew.mlt,"""\\aresnew.mlt"""
183,0x333c88,25,Shift_JIS,MONO STEREO SET ERROR %d,"""MONO STEREO SET ERROR %d"""
184,0x333ca4,20,Shift_JIS,\\sound\\b7000000.mlt,"""\\sound\\b7000000.mlt"""
185,0x333cb8,12,Shift_JIS,\\player.mlz,"""\\player.mlz"""
186,0x333cc4,22,Shift_JIS,ＮＯＷ ＬＯＡＤＩＮＧ,"""\x82m\x82n\x82v \x82k\x82n\x82`\x82c\x82h\x82m\x82f"""
187,0x333cdc,4,Shift_JIS,Jan,"""Jan"""
188,0x333ce0,4,Shift_JIS,Feb,"""Feb"""
189,0x333ce4,4,Shift_JIS,Mar,"""Mar"""
190,0x333ce8,4,Shift_JIS,Apr,"""Apr"""
191,0x333cec,4,Shift_JIS,May,"""May"""
192,0x333cf0,4,Shift_JIS,Jun,"""Jun"""
193,0x333cf4,4,Shift_JIS,Jul,"""Jul"""
194,0x333cf8,4,Shift_JIS,Aug,"""Aug"""
195,0x333cfc,4,Shift_JIS,Sep,"""Sep"""
196,0x333d00,4,Shift_JIS,Oct,"""Oct"""
197,0x333d04,4,Shift_JIS,Nov,"""Nov"""
198,0x333d08,4,Shift_JIS,Dec,"""Dec"""
199,0x333d0c,22,Shift_JIS,MATRIX STACK OVER !!!,"""MATRIX STACK OVER !!!"""
200,0x333d24,27,Shift_JIS,IDmem change size:%d %c %d,"""IDmem change size:%d %c %d"""
201,0x333d40,22,Shift_JIS,memory allocate error,"""memory allocate error"""
202,0x333d58,7,Shift_JIS,M_AMEM,"""M_AMEM"""
203,0x333d60,30,Shift_JIS,IDmem Search error:0xffffffff,"""IDmem Search error:0xffffffff"""
204,0x333d80,28,Shift_JIS,Memory Segment Error 0x%08x,"""Memory Segment Error 0x%08x"""
205,0x333d9c,26,Shift_JIS,NoEqu free IDmem:%d %c %d,"""NoEqu free IDmem:%d %c %d"""
206,0x333db8,26,Shift_JIS,no free IDmemory:%d %c %d,"""no free IDmemory:%d %c %d"""
207,0x333dd4,6,Shift_JIS,_AMEM,"""_AMEM"""
208,0x333ddc,14,Shift_JIS,memFree Error,"""memFree Error"""
209,0x333dec,18,Shift_JIS,memFree Dup Error,"""memFree Dup Error"""
210,0x333e00,7,Shift_JIS,D_AMEM,"""D_AMEM"""
211,0x333e08,27,Shift_JIS,memory reallocate error -1,"""memory reallocate error -1"""
212,0x333e24,24,Shift_JIS,memory reallocate error,"""memory reallocate error"""
213,0x333e3c,7,Shift_JIS,R_AMEM,"""R_AMEM"""
214,0x333e43,5,Shift_JIS,MEMM,"""MEMM"""
215,0x333e48,5,Shift_JIS,FREE,"""FREE"""
216,0x333e4d,5,Shift_JIS,MEMR,"""MEMR"""
217,0x333e54,33,Shift_JIS,メニュー用メモリを確保出来ません,"""\x83\x81\x83j\x83\x85\x81[\x97p\x83\x81\x83\x82\x83\x8A\x82\xF0\x8Am\x95\xDB\x8Fo\x97\x88\x82\xDC\x82\xB9\x82\xF1"""
218,0x333e78,17,Shift_JIS,get matrix error,"""get matrix error"""
219,0x333e8c,23,Shift_JIS,Ground(%d) Link Max 16,"""Ground(%d) Link Max 16"""
220,0x333ea4,22,Shift_JIS,False GrdLink (%d:%d),"""False GrdLink (%d:%d)"""
221,0x333ebc,25,Shift_JIS,No Convert Ground:%d(%d),"""No Convert Ground:%d(%d)"""
222,0x333ed8,19,Shift_JIS,False Ground No:%d,"""False Ground No:%d"""
223,0x333f24,5,Shift_JIS,.mlt,""".mlt"""
224,0x333f2c,16,Shift_JIS,ＣＥＳＡ ＲＯＭ,"""\x82b\x82d\x82r\x82` \x82q\x82n\x82l"""
225,0x333f3c,12,Shift_JIS,Aug 23 2000,"""Aug 23 2000"""
226,0x333f48,9,Shift_JIS,12:20:42,"""12:20:42"""
227,0x333f54,15,Shift_JIS,PRESS A BUTTON,"""PRESS A BUTTON"""
228,0x333f64,17,Shift_JIS,BankNum    : %3d,"""BankNum    : %3d"""
229,0x333f78,17,Shift_JIS,RequestNum : %3d,"""RequestNum : %3d"""
230,0x333f8c,28,Shift_JIS,PRESS A BUTTON   TEST SOUND,"""PRESS A BUTTON   TEST SOUND"""
231,0x333fa8,28,Shift_JIS,PRESS B BUTTON   STOP SOUND,"""PRESS B BUTTON   STOP SOUND"""
232,0x333fc4,34,Shift_JIS,PRESS S BUTTON   RETURN MAIN MENU,"""PRESS S BUTTON   RETURN MAIN MENU"""
233,0x333fe8,7,Shift_JIS,マップ,"""\x83}\x83b\x83v"""
234,0x333ff0,5,Shift_JIS,戦闘,"""\x90\xED\x93\xAC"""
235,0x333ff8,7,Shift_JIS,船戦闘,"""\x91D\x90\xED\x93\xAC"""
236,0x334000,15,Shift_JIS,サウンドテスト,"""\x83T\x83E\x83\x93\x83h\x83e\x83X\x83g"""
237,0x334010,7,Shift_JIS,OPTION,"""OPTION"""
238,0x334018,11,Shift_JIS,つづきから,"""\x82\xC2\x82\xC3\x82\xAB\x82\xA9\x82\xE7"""
239,0x334024,4,Shift_JIS,BGM,"""BGM"""
240,0x334028,5,Shift_JIS,LOOP,"""LOOP"""
241,0x334030,3,Shift_JIS,SE,"""SE"""
242,0x334034,10,Shift_JIS,FILE NAME,"""FILE NAME"""
243,0x334040,12,Shift_JIS,BANK NUMBER,"""BANK NUMBER"""
244,0x33404c,12,Shift_JIS,LIST NUMBER,"""LIST NUMBER"""
245,0x334058,22,Shift_JIS,FreeTex Error GI=%08X,"""FreeTex Error GI=%08X"""
246,0x334070,3,Shift_JIS,rb,"""rb"""
247,0x334074,5,Shift_JIS,GBIX,"""GBIX"""
248,0x33407c,5,Shift_JIS,PVRT,"""PVRT"""
249,0x334084,27,Shift_JIS,TexManageErr %d %d %s = %s,"""TexManageErr %d %d %s = %s"""
250,0x3340a0,29,Shift_JIS,CalcTexSize 0 W=%d H=%d T=%X,"""CalcTexSize 0 W=%d H=%d T=%X"""
251,0x3340c0,5,Shift_JIS,.pvr,""".pvr"""
252,0x3340c8,26,Shift_JIS,False ReLoadRenderTexture,"""False ReLoadRenderTexture"""
253,0x3340e4,18,Shift_JIS,\\title\\title0.mld,"""\\title\\title0.mld"""
254,0x3340f8,20,Shift_JIS,\\title\\ts900000.mld,"""\\title\\ts900000.mld"""
255,0x334120,16,Shift_JIS,\\sound\\m02s.p04,"""\\sound\\m02s.p04"""
256,0x334130,16,Shift_JIS,\\sound\\m02s.p16,"""\\sound\\m02s.p16"""
257,0x334140,19,Shift_JIS,\\title\\warning.mld,"""\\title\\warning.mld"""
258,0x334154,20,Shift_JIS,\\title\\ts900026.mld,"""\\title\\ts900026.mld"""
259,0x334168,20,Shift_JIS,\\title\\ts900028.mld,"""\\title\\ts900028.mld"""
260,0x33417c,31,Shift_JIS,ディスクをチェックしています。,"""\x83f\x83B\x83X\x83N\x82\xF0\x83`\x83F\x83b\x83N\x82\xB5\x82\xC4\x82\xA2\x82\xDC\x82\xB7\x81B"""
261,0x33419c,29,Shift_JIS,メモリーカードがありません。,"""\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xAA\x82\xA0\x82\xE8\x82\xDC\x82\xB9\x82\xF1\x81B"""
262,0x3341bc,43,Shift_JIS,メモリーカードの空き容量が不足しています。,"""\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xCC\x8B\xF3\x82\xAB\x97e\x97\xCA\x82\xAA\x95s\x91\xAB\x82\xB5\x82\xC4\x82\xA2\x82\xDC\x82\xB7\x81B"""
263,0x3341e8,45,Shift_JIS,ゲームのファイルを保存するには２７ブロックの,"""\x83Q\x81[\x83\x80\x82\xCC\x83t\x83@\x83C\x83\x8B\x82\xF0\x95\xDB\x91\xB6\x82\xB7\x82\xE9\x82\xC9\x82\xCD\x82Q\x82V\x83u\x83\x8D\x83b\x83N\x82\xCC"""
264,0x334218,45,Shift_JIS,空きのあるメモリーカードが必要です。このまま,"""\x8B\xF3\x82\xAB\x82\xCC\x82\xA0\x82\xE9\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xAA\x95K\x97v\x82\xC5\x82\xB7\x81B\x82\xB1\x82\xCC\x82\xDC\x82\xDC"""
265,0x334248,45,Shift_JIS,でもゲームを開始することはできますが、途中で,"""\x82\xC5\x82\xE0\x83Q\x81[\x83\x80\x82\xF0\x8AJ\x8En\x82\xB7\x82\xE9\x82\xB1\x82\xC6\x82\xCD\x82\xC5\x82\xAB\x82\xDC\x82\xB7\x82\xAA\x81A\x93r\x92\x86\x82\xC5"""
266,0x334278,45,Shift_JIS,ゲームのファイルを保存することができません。,"""\x83Q\x81[\x83\x80\x82\xCC\x83t\x83@\x83C\x83\x8B\x82\xF0\x95\xDB\x91\xB6\x82\xB7\x82\xE9\x82\xB1\x82\xC6\x82\xAA\x82\xC5\x82\xAB\x82\xDC\x82\xB9\x82\xF1\x81B"""
267,0x3342a8,8,Shift_JIS,\\disk1.,"""\\disk1."""
268,0x3342b0,20,Shift_JIS,\\sound\\m5000000.mlt,"""\\sound\\m5000000.mlt"""
269,0x3342c4,11,Shift_JIS,ME201A.sct,"""ME201A.sct"""
270,0x3342d0,11,Shift_JIS,ME299A.sct,"""ME299A.sct"""
271,0x3342dc,5,Shift_JIS,NJCM,"""NJCM"""
272,0x3342e4,5,Shift_JIS,NJBM,"""NJBM"""
273,0x3342ec,34,Shift_JIS,scptBootup: scptArrayAlloc failed,"""scptBootup: scptArrayAlloc failed"""
274,0x334310,34,Shift_JIS,scptArrayAlloc: initial two times,"""scptArrayAlloc: initial two times"""
275,0x334334,30,Shift_JIS,scptArrayAlloc: malloc failed,"""scptArrayAlloc: malloc failed"""
276,0x334354,43,Shift_JIS,scptArrayAlloc(LazyJobList): malloc failed,"""scptArrayAlloc(LazyJobList): malloc failed"""
277,0x334380,22,Shift_JIS,scptLoad: Len is zero,"""scptLoad: Len is zero"""
278,0x334398,31,Shift_JIS,scptLoad: gScpt.PtrTop == NULL,"""scptLoad: gScpt.PtrTop == NULL"""
279,0x3343b8,27,Shift_JIS,scptAnarize: StackOverFlow,"""scptAnarize: StackOverFlow"""
280,0x3343d4,22,Shift_JIS,scptSTUB: code error!,"""scptSTUB: code error!"""
281,0x3343ec,23,Shift_JIS,GOSUB: Stack over flow,"""GOSUB: Stack over flow"""
282,0x334404,29,Shift_JIS,scptWWW: No Empty LazyBuffer,"""scptWWW: No Empty LazyBuffer"""
283,0x334424,27,Shift_JIS,scptPRINT: malloc failed 1,"""scptPRINT: malloc failed 1"""
284,0x334440,34,Shift_JIS,scptPRINT: message post timed out,"""scptPRINT: message post timed out"""
285,0x334464,25,Shift_JIS,scptPRINT MES: NO LABEL!,"""scptPRINT MES: NO LABEL!"""
