Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Unknown #1,Order by importance,Order by alphabet,Padding #1,Unknown #2,Unknown #3,Padding #2,Padding #3,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string
330,2150397680,122734,17,Yellow MoonStone,122089,16,Piedra Amarilla,122709,13,Pierre Jaune,120294,17,Yellow MoonStone,0,4,34,0,0,0,0,0,99655,81,Ein Moon Stone vom Yellow Moon. Er kann Waffen\ndie Kraft des Blitzes verleihen.,98732,84,Piedra Lunar procedente de la Luna Amarilla.\nOtorga a las armas el poder del rayo.,98964,89,Une Pierre de Lune de la Lune Jaune. Peut\ninsuffler les pouvoirs de l'éclair aux armes.,97571,88,A Moon Stone from the Yellow Moon. It can infuse\nweapons with the powers of lightning.
331,2150397700,122751,17,Silver MoonStone,122105,16,Piedra de Plata,122722,16,Pierre d'Argent,120311,17,Silver MoonStone,0,5,27,0,0,0,0,0,99736,88,Ein Moon Stone vom Silver Moon. Er kann Waffen\ndie Kräfte von Leben und Tod verleihen.,98816,87,Piedra Lunar de la Luna de Plata. Otorga a las\narmas el poder de la vida y la muerte.,99053,93,Une Pierre de Lune de la Lune Argent. Peut\ndonner les pouvoirs de vie et de mort aux armes.,97659,93,A Moon Stone from the Silver Moon. It can infuse\nweapons with the powers of life and death.
332,2150397720,122768,17,Unterwasseranzug,122121,15,Traje Acuático,122738,11,Scaphandre,120328,16,Underwater Suit,0,26,28,0,0,0,0,0,99824,93,Durch einen Blue Moon Stone kann der Träger\ndieses wasserdichten Anzugs unter Wasser atmen.,98903,88,"Este traje acuático, usando una Piedra Azul,\npermite al usuario respirar bajo el agua.",99146,98,Cette combinaison imperméable permet de respirer\nsous l'eau à l'aide d'une Pierre de Lune Bleue.,97752,89,"Using a Blue Moon Stone, this water-proof suit\nallows the wearer to breathe underwater."
333,2150397736,122785,13,Flaschenpost,122136,5,Nota,122749,12,Message SOS,120344,17,Note in a Bottle,0,12,19,0,0,0,0,0,99917,95,"Eine Flaschenpost mit der Nachricht: “Quetya\nbitte sende Krieger, um uns kämpfen zu helfen.”",98991,85,Nota en una botella que dice: “Quetya\nEnvía guerreros para ayudarnos en la lucha.”,99244,85,Un mot trouvé dans une bouteille disant “Quetya\nEnvoyez des guerriers en renfort.”,97841,86,"A note found in a bottle that says, “Quetya\nPlease send warriors to help us fight.”"
334,2150397756,122798,17,Kanonenschlüssel,122141,16,Llave del Cañón,122761,16,Clé Pièce Canon,120361,16,Cannon Room Key,0,24,3,0,0,0,0,0,100012,96,Ein großer Stahlschlüssel zum Kanonenraum der\nGrand Fortress. Er hat einen Drachen eingeprägt.,99076,93,Llave de acero para abrir la Sala de Cañones\nde la Gran Fortaleza. Lleva un dragón grabado.,99329,99,Grande clé en acier ouvrant la Pièce du Canon de\nla Grande Forteresse. Porte l'estampe du dragon.,97927,92,"A large, steel key to the Cannon Room of the\nGrand Fortress. It is embossed with a dragon."
335,2150397772,122815,12,Schiffsplan,122157,16,Planos de barco,122777,17,Schéma du navire,120377,16,Ship Schematics,0,28,26,0,0,0,0,0,100108,94,"Entwurf für ein Schiff, das in die Great Cloud\nSea tauchen und in den Deep Sky abheben kann.",99169,96,Proyecto de un barco que puede sumergirse bajo\nel mar de Grandes Nubes e ir al Cielo Profundo.,99428,92,Plans permettant au navire de s'immerger sous le\nGrand Océan de Nuages et les Profondeurs.,98019,85,Design for a ship that can submerge under the\nGreat Cloud Sea and go into Deep Sky.
336,2150397788,122827,16,Gonzales' Karte,122173,17,Mapa de González,122794,15,Carte Gonzales,120393,14,Gonzales' Map,0,21,9,0,0,0,0,0,100202,99,"Karte, die auf den Überresten von Gonzales gefun\n-den wurde. Sie wurde in zwei Hälften zerrissen.",99265,94,Mapa encontrado junto a los restos de González.\nParece que el mapa fue rasgado por la mitad.,99520,89,Carte trouvée sur les restes du corps de\nGonzales. Elle semble avoir été déchirée en 2.,98104,88,Map found on the remains of Gonzales. It appears\nthat the map has been ripped in half.
337,2150397804,122843,13,Pedros Karte,122190,14,Mapa de Pedro,122809,15,Carte de Pedro,120407,12,Pedro's Map,0,22,20,0,0,0,0,0,100301,96,"Karte, die von Pedro kam, als er in Nasrad war.\nSie scheint in zwei Hälften zerrissen zu sein.",99359,82,Mapa entregado por Pedro en Nasrad.\nParece que el mapa fue rasgado por la mitad.,99609,90,Carte envoyée par Pedro quand il était à Nasrad.\nElle semble avoir été déchirée en deux.,98192,91,Map received from Pedro while in Nasrad. It\nappears that the map has been ripped in half.
338,2150397816,122856,14,ALFONSO'S KEY,122204,14,ALFONSO'S KEY,122824,14,ALFONSO'S KEY,120419,14,ALFONSO'S KEY,0,39,35,0,0,0,0,0,100397,8,CUT.\n,99441,8,CUT.\n,99699,8,CUT.\n,98283,13,CUT.\n------
339,2150397836,122870,15,Golden Man Eye,122218,15,Ojo del Hombre,122838,16,Oeil Homme Doré,120433,17,Golden Man's Eye,0,16,8,0,0,0,0,0,100405,95,"Ein herrliches orangefarbenes Juwel, das in das\nAuge der Golden-Man-Statue eingelassen wurde.",99449,93,Bella gema de color naranja que estaba engarzada\nen el ojo de la estatua del Hombre Dorado.,99707,91,Belle pierre précieuse orange trouvée incrustée\ndans l'oeil de la statue de l'Homme Doré.,98296,74,"A beautiful, orange gem found set into the eye\nof the Golden Man statue."
340,2150397856,122885,15,Great Bird Eye,122233,15,Ojo del Pájaro,122854,17,Oeil GrandOiseau,120450,17,Great Bird's Eye,0,17,11,0,0,0,0,0,100500,80,"Ein herrliches blaues Juwel, das in das Auge\ndes Great Bird eingelassen wurde.",99542,83,Preciosa gema de color azul que se encontró\nincrustada en el ojo del Gran Pájaro.,99798,77,Belle pierre précieuse bleue trouvée incrustée\ndans l'oeil du Grand Oiseau.,98370,66,"A beautiful, blue gem found set into the eyes\nof the Great Bird."
341,2150397876,122900,17,Roher Moon Stone,122248,11,Roca Lunar,122871,17,Pierre Lune Brut,120467,15,Raw Moon Stone,0,11,23,0,0,0,0,0,100580,81,"Ein Fels mit Moon Stone-Erz, auf Shrine Island\ngefunden. Im Rohzustand nutzlos.",99625,92,Roca con Piedra Lunar encontrada en la Isla del\nTemplo. Debe ser refinada antes de usarse.,99875,93,Rocher contenant du minerai de Pierre de Lune\ntrouvé sur l'île du Temple. Doit être traité.,98436,83,A rock containing Moon Stone ore found on Shrine\nIsland. Unusable unless refined.
342,2150397892,122917,14,Daccats Münze,122259,17,Moneda de Daccat,122888,16,Pièce de Daccat,120482,14,Daccat's Coin,100,23,5,0,78,32,0,0,100661,98,"Goldmünze, die vom großen Luftpiraten Daccat ge-\nprägt wurde, trägt sein Symbol auf einer Seite.",99717,86,Moneda de oro acuñada por el gran Pirata Aéreo\nDaccat. Lleva su símbolo en una cara.,99968,91,"Pièce d'or monnayée par le grand pirate Daccat,\nelle porte son symbole sur une des faces.",98519,85,"A gold coin minted by the great Air Pirate\nDaccat, it bears his symbol on one side."
343,2150397908,122931,10,SISIKABAB,122276,10,SISIKABAB,122904,10,SISIKABAB,120496,10,SISIKABAB,0,35,-1,0,0,0,0,0,100759,12,CONVERT.\n,99803,12,CONVERT.\n,100059,12,CONVERT.\n,98604,17,CONVERT.\n------
344,2150955984,122941,6,Kabal,122286,6,Kabal,122914,6,Kabal,120506,6,Kabal,0,32,15,0,0,0,0,0,100771,74,"Fleisch eines Wüsten-Lasttiers, allseits als\nsehr schmackhaft angesehen.",99815,77,Carne de un animal de carga del desierto.\nMuchos la consideren sabrosísima.,100071,89,"La viande d'une bête de somme du désert,\ncertains trouvent qu'elle est très savoureuse.",98621,82,"The meat of a desert beast of burden, it is\nconsidered by many to be very tasty."
345,2150955992,122947,7,Gentum,122292,7,Gentum,122920,7,Gentum,120512,7,Gentum,0,33,7,0,1,-12,0,0,100845,98,Aromatische Frucht aus dem nördlichen Nasr. Ge-\nheimzutat bei der Zubereitung von Kabal-Spießen.,99892,88,Fragante fruta del Norte de Nasrad. Es un\ningrediente secreto de la brocheta de Kabal.,100160,92,Un fruit parfumé du nord de Nasr. Ingrédient\nsecret pour préparer les brochettes de Kabal.,98703,86,A fragrant fruit from northern Nasr.\nSecret ingredient used in making Kabal Skewers.
346,2150956000,122954,6,Khale,122299,6,Khale,122927,6,Khale,120519,6,Khale,0,34,16,0,0,0,0,0,100943,75,"Teures Gewürz, das im Osten angebaut wird.\nGeheimzutat von Kabal-Spießen.",99980,93,"Preciada especia, que crece en el Este y es\nun ingrediente secreto de la Brocheta de Kabal.",100252,94,Épice onéreuse cultivée dans l'Est. Ingrédient\nsecret pour préparer les brochettes de Kabal.,98789,88,"An expensive spice, grown in the East.\nSecret ingredient used in making Kabal Skewers."
347,2150397920,122960,14,CHO SISIKABAB,122305,14,CHO SISIKABAB,122933,14,CHO SISIKABAB,120525,14,CHO SISIKABAB,0,36,-1,0,0,0,0,0,101018,12,CONVERT.\n,100073,12,CONVERT.\n,100346,12,CONVERT.\n,98877,17,CONVERT.\n------
348,2150397940,122974,11,Valua-Pass,122319,17,Pasaporte Valuan,122947,17,Passeport Valuan,120539,16,Valuan Passport,0,13,29,0,0,0,0,0,101030,89,"Pass, der für den Zugang zum Valua-Reich not-\nwendig ist. Geschenk eines Nasr-Händlers.",100085,86,Pasaporte necesario para entrar en el Imperio\nValuan. Un regalo de un mercader Nasr.,100358,88,Passeport nécéssaire pour entrer dans l'empire\nValuan. Offert par un marchand Nasrean.,98894,91,A passport necessary to enter the Valuan Empire.\nReceived from a Nasr merchant as a gift.
349,2150397956,122985,17,Moon Stone-Sprit,122336,15,Gasolina Lunar,122964,17,Pierre Carburant,120555,16,Moon Stone Fuel,0,15,18,0,0,0,0,0,101119,83,Verfeinerter Moon Stone zum Antrieb eines\nSchiffes. Hans gab ihn Vyse in Horteka.,100171,93,Piedra Lunar refinada para usarse como gasolina\nde navío que Hans regaló a Vyse en Horteka.,100446,98,Pierre de Lune raffinée pour servir de carburant\naux navires. Hans l'a offerte à Vyse à Horteka.,98985,98,A Moon Stone refined for use as fuel for a ship.\nGiven to Vyse by Hans when they met in Horteka.
350,2150397972,123002,13,Claras Börse,122351,17,Cartera de Clara,122981,16,Bourse de Clara,120571,14,Clara's Purse,0,19,4,0,0,0,0,0,101202,69,"Hellrosa Börse mit Geld, das Aika und Fina von\nClara gegeben wurde.",100264,78,Cartera rosa brillante que guarda el dinero\nque Clara entrega a Aika y Fina.,100544,87,Un porte-monnaie rose fuchsia contenant de\nl'argent que Clara a donné à Aika et Fina.,99083,71,A bright pink purse containing money given to\nAika and Fina by Clara.
351,2150397988,123015,17,Book of Polarity,122368,15,Libro del Polo,122997,16,Livre Polarités,120585,17,Book of Polarity,0,27,2,0,0,0,0,0,101271,98,"Alter Yafutoma-Text, der den Prozess beschreibt,\ndurch den Schiffe hoch und tief fliegen können.",100342,98,Viejo texto Yafutoman que contiene instrucciones\npara conducir navíos a altas y bajas latitudes.,100631,93,Vieux texte Yafutoman décrivant les techniques\nde vol à très haute et très basse altitudes.,99154,98,An old Yafutoman text explaining the process of\nenabling ships to fly to high and low altitudes.
352,2150398008,123032,9,Velorium,122383,9,Velorium,123013,9,Velorium,120602,9,Velorium,0,29,30,0,0,0,0,0,101369,93,"Seltene Art von Metall, in Deep Sky anzutreffen.\nEin Vielfaches stärker als normaler Stahl.",100440,92,Extraño tipo de metal procedente del Cielo\nProfundo. Es mucho más resistente que el acero.,100724,92,Type de métal rare trouvé dans les Profondeurs.\nBien plus solide que de l'acier ordinaire.,99252,86,A rare type of metal found in Deep Sky.\nIt is many times stronger than normal steel.
353,2150398008,123041,9,Velorium,122392,9,Velorium,123022,9,Velorium,120611,9,Velorium,0,30,31,0,0,0,0,0,101462,96,"Seltene Art von Metall, in Deep Sky anzutreffen.\nUm ein Vielfaches stärker als normaler Stahl.",100532,93,Extraño tipo de metal procedente del Cielo\nProfundo. Es mucho más resistente que el acero,100816,89,Type de métal rare trouvé dans les Profondeurs.\nBien plus solide que l'acier ordinaire.,99338,86,A rare type of metal found in Deep Sky.\nIt is many times stronger than normal steel.
354,2150398020,123050,13,SAISYUHEIKI3,122401,13,SAISYUHEIKI3,123031,13,SAISYUHEIKI3,120620,13,SAISYUHEIKI3,0,37,-1,0,0,0,0,0,101558,8,CUT.\n,100625,8,CUT.\n,100905,8,CUT.\n,99424,13,CUT.\n------
355,2150398032,123063,15,Hafenschlüssel,122414,13,Puerto Clave,123044,12,Clé du Port,120633,11,Harbor Key,0,25,14,0,0,0,0,0,101566,88,Kleiner Messingschlüssel zum Kaiserlichen Hafen\nvon Valua. Er hat eine Drachenprägung.,100633,93,Pequeña llave de bronce para acceder al puerto\ndel Imperio Valuan. Tiene un dragón tallado.,100913,81,Petite clé en cuivre du port Impérial Valuan.\nElle porte l'estampe d'un dragon.,99437,83,"A small, brass key to the Valuan Imperial\nharbor. It has a dragon embossed on it."
356,2150398044,123078,16,Magische Kanone,122427,13,Cañón Mágico,123056,14,Canon Magique,120644,13,Magic Cannon,0,14,17,0,0,0,0,0,101654,78,"Ein Kanonenaufsatz, durch den man Schüsse mit\nmagischer Kraft abfeuern kann.",100726,85,Artefacto que se añade a los cañones para\nefectuar disparos fortalecidos con Magia.,100994,89,Dispositif attaché aux canons qui leur permet\nde tirer des coups aux pouvoirs magiques.,99520,83,A device attached to cannons that allows them\nto fire shots empowered with magic.
357,2150956008,123094,5,Lohn,122440,9,Salarios,123070,9,Salaires,120657,6,Wages,0,20,32,0,0,0,0,0,101732,91,"Enthält die 5.000 Goldstücke, die Aika und Fina\nin der Taverne von Nasrad verdient haben.",100811,96,Contiene las 5.000 unidades de oro que Fina y\nAika ganaron trabajando en la taberna de Nasrad.,101083,93,Contient 5 000 pièces d'or qu'Aika et Fina ont\ngagné en travaillant à la taverne de Nasrad.,99603,90,"Contains the 5,000 gold that Aika and Fina\nearned while working at the tavern in Nasrad."
358,2150398060,123099,15,Grapor-Fleisch,122449,16,Carne de Grapor,123079,16,Chair de Grapor,120663,12,Grapor Meat,0,18,10,0,0,0,0,0,101823,98,"Fleisch eines seltenen Fisches, des Grapor. Man\nfindet ihn nur in den Wäldern der Crescent Isle.",100907,89,"Carne de un extraño pez, el Grapor, que vive\nsólo en los bosques de la Isla de la Luna.",101176,92,"Chair du Grapor, un poisson rare. Ce poisson\nse trouve dans les forêts de l'île Croissant.",99693,95,"Meat from the rare fish, the Grapor. This fish\nis only found in the forests of Crescent Isle."
359,2150398072,123114,17,Domingos Papiere,122465,12,Certificado,123095,17,Titre de Domingo,120675,16,Domingo's Title,0,31,6,0,0,0,0,0,101921,88,"Ein  Zertifikat von Domingo, in dem er Vyse als\n“Hervorragenden Schatzjäger” ausweist.",100996,90,Un certificado de Domingo reconociendo a Vyse\ncomo “Extraordinario buscador de tesoros”.,101268,93,Certificat de Domingo proclamant Vyse comme\nétant un “Extraordinaire Chercheur de Trésors.”,99788,87,A certificate from Domingo proclaiming Vyse to\nbe a “Treasure Hunter Extraordinaire.”
360,2150398088,123131,9,Moonfish,122477,10,Pez Lunar,123112,13,Poisson-lune,120691,9,Moonfish,0,43,-2,0,0,0,0,0,102009,89,"Ein Fisch, der fürs bloße Auge unsichtbar ist. \nMarias Vogel scheint ihn sehr zu mögen.",101086,89,Un pez imperceptible a la vista. Parece que es\nla comida preferida del pájaro de Maria.,101361,93,Poisson invisible à l'il nu. Cela semble être\nla nourriture préférée de l'oiseau de Maria.,99875,89,A fish that is invisible to the naked eye. It\nseems to be Maria's bird's favorite food.
361,2150398100,123140,11,Black Spot,122487,12,Punto Negro,123125,11,Point Noir,120700,11,Black Spot,0,39,-6,0,0,0,0,0,102098,97,"Notiz in roter Tinte auf rabenschwarzem Papier.\n""Ich warte westlich von Sailors Island-Piastol""",101175,96,"Nota escrita con tinta roja en papel negro. ""Te\nespero, oeste de la Isla Los Marinos. Piastol""",101454,90,"Note à l'encre rouge sur papier noir. ""J'attends\nà l'ouest de l'Île des Marins. Piastol""",99964,96,"A note written in red ink, on jet black paper.\n""I await you, west of Sailors' Island -Piastol"""
362,2150398100,123151,11,Black Spot,122499,12,Punto Negro,123136,11,Point Noir,120711,11,Black Spot,0,40,-5,0,0,0,0,0,102195,98,"Notiz in roter Tinte auf rabenschwarzem Papier.\n""Ich warte am Ort, an dem wir kämpften- Piastol""",101271,88,"Nota escrita con tinta roja en papel negro. ""Te\nespero en donde nos peleamos. Piastol""",101544,91,"Note à l'encre rouge sur papier noir. ""J'attends \nlà où nous nous sommes battus. Piastol""",100060,95,"A note written in red ink, on jet black paper.\n""I await you at the place we fought. -Piastol"""
363,2150398100,123162,11,Black Spot,122511,12,Punto Negro,123147,11,Point Noir,120722,11,Black Spot,0,41,-4,0,0,0,0,0,102293,94,"Notiz in roter Tinte auf rabenschwarzem Papier.\n""Ich warte am selben Ort auf dich - Piastol""",101359,84,"Nota escrita con tinta roja en papel negro. ""Te\nespero en el mismo lugar. Piastol""",101635,92,"Note rédigée à l'encre rouge sur papier noir de\njais. ""J'attends au même endroit. Piastol""",100155,93,"A note written in red ink, on jet black paper.\n""I await you at the same location. -Piastol"""
364,2150398100,123173,11,Black Spot,122523,12,Punto Negro,123158,11,Point Noir,120733,11,Black Spot,0,42,-3,0,0,0,0,0,102387,94,"Notiz in roter Tinte auf rabenschwarzem Papier.\n""Ich warte am selben Ort auf dich - Piastol""",101443,84,"Nota escrita con tinta roja en papel negro. ""Te\nespero en el mismo lugar. Piastol""",101727,92,"Note rédigée à l'encre rouge sur papier noir de\njais. ""J'attends au même endroit. Piastol""",100248,93,"A note written in red ink, on jet black paper.\n""I await you at the same location. -Piastol"""
365,2150398112,123184,11,DUMMYCLEAR,122535,11,DUMMYCLEAR,123169,11,DUMMYCLEAR,120744,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102481,9,DUMMY\n,101527,9,DUMMY\n,101819,9,DUMMY\n,100341,14,DUMMY\n------
366,2150398112,123195,11,DUMMYCLEAR,122546,11,DUMMYCLEAR,123180,11,DUMMYCLEAR,120755,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102490,9,DUMMY\n,101536,9,DUMMY\n,101828,9,DUMMY\n,100355,14,DUMMY\n------
367,2150398112,123206,11,DUMMYCLEAR,122557,11,DUMMYCLEAR,123191,11,DUMMYCLEAR,120766,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102499,9,DUMMY\n,101545,9,DUMMY\n,101837,9,DUMMY\n,100369,14,DUMMY\n------
368,2150398112,123217,11,DUMMYCLEAR,122568,11,DUMMYCLEAR,123202,11,DUMMYCLEAR,120777,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102508,9,DUMMY\n,101554,9,DUMMY\n,101846,9,DUMMY\n,100383,14,DUMMY\n------
369,2150398112,123228,11,DUMMYCLEAR,122579,11,DUMMYCLEAR,123213,11,DUMMYCLEAR,120788,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102517,9,DUMMY\n,101563,9,DUMMY\n,101855,9,DUMMY\n,100397,14,DUMMY\n------
370,2150398112,123239,11,DUMMYCLEAR,122590,11,DUMMYCLEAR,123224,11,DUMMYCLEAR,120799,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102526,9,DUMMY\n,101572,9,DUMMY\n,101864,9,DUMMY\n,100411,14,DUMMY\n------
371,2150398112,123250,11,DUMMYCLEAR,122601,11,DUMMYCLEAR,123235,11,DUMMYCLEAR,120810,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102535,9,DUMMY\n,101581,9,DUMMY\n,101873,9,DUMMY\n,100425,14,DUMMY\n------
372,2150398112,123261,11,DUMMYCLEAR,122612,11,DUMMYCLEAR,123246,11,DUMMYCLEAR,120821,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102544,9,DUMMY\n,101590,9,DUMMY\n,101882,9,DUMMY\n,100439,14,DUMMY\n------
373,2150398112,123272,11,DUMMYCLEAR,122623,11,DUMMYCLEAR,123257,11,DUMMYCLEAR,120832,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102553,9,DUMMY\n,101599,9,DUMMY\n,101891,9,DUMMY\n,100453,14,DUMMY\n------
374,2150398112,123283,11,DUMMYCLEAR,122634,11,DUMMYCLEAR,123268,11,DUMMYCLEAR,120843,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102562,9,DUMMY\n,101608,9,DUMMY\n,101900,9,DUMMY\n,100467,14,DUMMY\n------
375,2150398112,123294,11,DUMMYCLEAR,122645,11,DUMMYCLEAR,123279,11,DUMMYCLEAR,120854,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102571,9,DUMMY\n,101617,9,DUMMY\n,101909,9,DUMMY\n,100481,14,DUMMY\n------
376,2150398112,123305,11,DUMMYCLEAR,122656,11,DUMMYCLEAR,123290,11,DUMMYCLEAR,120865,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102580,9,DUMMY\n,101626,9,DUMMY\n,101918,9,DUMMY\n,100495,14,DUMMY\n------
377,2150398112,123316,11,DUMMYCLEAR,122667,11,DUMMYCLEAR,123301,11,DUMMYCLEAR,120876,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102589,9,DUMMY\n,101635,9,DUMMY\n,101927,9,DUMMY\n,100509,14,DUMMY\n------
378,2150398112,123327,11,DUMMYCLEAR,122678,11,DUMMYCLEAR,123312,11,DUMMYCLEAR,120887,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102598,9,DUMMY\n,101644,9,DUMMY\n,101936,9,DUMMY\n,100523,14,DUMMY\n------
379,2150398112,123338,11,DUMMYCLEAR,122689,11,DUMMYCLEAR,123323,11,DUMMYCLEAR,120898,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102607,9,DUMMY\n,101653,9,DUMMY\n,101945,9,DUMMY\n,100537,14,DUMMY\n------
380,2150398112,123349,11,DUMMYCLEAR,122700,11,DUMMYCLEAR,123334,11,DUMMYCLEAR,120909,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0,102616,9,DUMMY\n,101662,9,DUMMY\n,101954,9,DUMMY\n,100551,14,DUMMY\n------
