[Event Name],Task ID
MFG0120043,"\h(«Aika»)Oaouh ! Enrique, vous nous avez déjà beaucoup
aidés…… Merci !\e"
MFG0120044,"\h(«Gilder»)Hé, pour un Prince, vous vous comportez vraiment
comme un Pirate de l'Air.\e"
MFG0120045,"\h(«Vyse»)OK, démarrons les moteurs !!
Prenons le Delphinus et partons d'ici !!\e"
MFG0120046,\h(«Tous»)Super !!\e
MFG0120047,"\h( )Vous avez récupéré le “Cristal de Lune Rouge” et
le “Cristal de Lune Verte.”\e"
MGG0120000,\h(«Vyse»)Was zum……?!\e
MGG0120001,"\h(«Enrique»)Du hast wahrscheinlich bereits mitgekriegt,
dass wir auf der Brücke eines Schiffes stehen.\e"
MGG0120002,"\h(«Enrique»)Dies ist die Delphinus, der jüngste Zugang bei
der Armada. Es ist mein persönliches
Flaggschiff.\e"
MGG0120003,"\h(«Enrique»)Sie ist schwer bewaffnet, kann aber trotzdem
die Höchstgeschwindigkeit von Kreuzern
erreichen. Und ihre Ausstattung reicht an die
eines schweren Schlachtschiffs heran.\e"
MGG0120004,\h(«Vyse»)Erstaunlich!\e
MGG0120005,"\h(«Enrique»)Dieses Schiff ist der Prototyp. Bald werden
wir damit beginnen, eine ganze Flotte von
Schiffen der Delphinus-Klasse zu bauen.\e"
MGG0120006,"\h(«Enrique»)Valua plant, diese Schiffe einzusetzen, um
die Welt zu erobern.\e"
MGG0120007,"\h(«Gilder»)Mit einer ganzen Flotte von Schiffen wie
diesem wird es Valua mit Leichtigkeit
gelingen, die Welt zu erobern. Vor allem
seit Nasrad gefallen ist.\e"
MGG0120008,"\h(«Gilder»)Also, Eure Königheit…… über eines bin ich mir
immer noch nicht im Klaren.\e"
MGG0120009,"\h(«Gilder»)Warum solltet Ihr uns bei der Flucht helfen
und uns dann mit auf die Brücke Eures
Flaggschiffs nehmen? Ihr habt Euch viel Mühe
gemacht, um uns zu beeindrucken……\e"
MGG0120010,"\h(«Aika»)Stimmt.
Gilder hat Recht.\e"
MGG0120011,\h(«Enrique»)Ich……\e
MGG0120012,"\h(«Enrique»)Ich möchte, dass ihr dieses Schiff übernehmt……
und mich mitfahren lasst.\e"
MGG0120013,\h(«Vyse»)WAS?!\e
MGG0120014,\h(«Aika»)Meint Ihr das im Ernst?\e
MGG0120015,"\h(«Enrique»)Valua ist mit Gewalt in andere Länder
eingefallen, hat deren Territorien zerstört
und unschuldige Menschen ermordet.\e"
MGG0120016,"\h(«Enrique»)Als ein Prinz des Valua-Empire klebt all das
Blut von Unschuldigen, das von der Armada
vergossen wurde, an meinen Händen.\e"
MGG0120017,"\h(«Enrique»)Ich habe alles getan, um die Kaiserin - und
Galcian - davon zu überzeugen, dass Valuas
Vorgehen falsch ist, aber ich kann sie nicht
dazu bewegen, ihre Einstellung zu ändern.\e"
MGG0120018,"\h(«Enrique»)Alles, was ich versucht habe, ist
fehlgeschlagen. Es ist nicht in meiner
Macht, sie davon abzuhalten.\e"
MGG0120019,"\h(«Enrique»)Meine einzige Chance auf Wiedergutmachung ist,
euch zu helfen.\e"
MGG0120020,"\h(«Enrique»)Bitte! Nehmt mich mit euch!
Ich komme sogar als eure Geisel mit.\e"
MGG0120021,"\h(«Was wirst du sagen?»)“Natürlich könnt Ihr mit uns kommen.”
“Wir können Euch nicht einfach vertrauen.”\e"
MGG0120022,"\h(«Vyse»)Natürlich könnt Ihr mit uns kommen.
Es gibt nur ein Problem…… die Blue Rogues
nehmen keine Geiseln.\e"
MGG0120023,"\h(«Vyse»)Wenn Ihr mit uns mitfahren wollt, dann als
ein Blue Rogue.\e"
MGG0120024,"\h(«Vyse»)Tut mir Leid, aber Ihr könnt nicht von uns
erwarten, dass wir Euch vertrauen. Woher sollen
wir wissen, dass Ihr uns nicht verratet?\e"
MGG0120025,"\h(«Aika»)Vyse! Er hat uns schon einmal das Leben
gerettet. Hörst du nicht, was er sagt?
Wir müssen ihm glauben.\e"
MGG0120026,"\h(«Fina»)Vyse……
Ich…… ich glaube ihm.\e"
MGG0120027,"\h(«Fina»)Als man mich zum Palast brachte, habe ich
beobachtet, wie er die Kaiserin vor ihren
Untertanen zur Rede gestellt hat. Er hat alles
darangesetzt, um sie von ihrem Tun abzuhalten.\e"
MGG0120028,"\h(«Fina»)Er hat uns gerade geholfen, vor den Wachen
zu entfliehen, und er überlässt uns sein
Schiff. Er begeht Verrat, um uns zu helfen.\e"
MGG0120029,"\h(«Fina»)Vyse, wenn wir ihn nicht mitnehmen, wird
er als Verräter hingerichtet.\e"
MGG0120030,\h(«Vyse»)……\e
MGG0120031,"\h(«Vyse»)……Verstehe.
Aber es gibt da noch ein Problem…… die Blue
Rogues nehmen keine Geiseln.\e"
MGG0120032,"\h(«Vyse»)Wenn Ihr mit uns mitfahren wollt, dann als
ein Blue Rogue.\e"
MGG0120033,"\h(«Enrique»)……Danke!
Ich übernehme meinen Anteil als Mitglied
eurer Crew!!\e"
MGG0120034,"\h(«Vyse»)Ich glaube, wir sind noch nicht einmal richtig
vorgestellt worden. Ich bin Vyse von den
Blue Rogues.\e"
MGG0120035,"\h(«Enrique»)Es ist eine Ehre, Mitglied deiner Crew zu
sein, Vyse.\e"
MGG0120036,"\h(«Aika»)Ich hätte nie gedacht, dass ich einmal ein
Schiff mit einem Valuaner teilen würde,
noch dazu dem Prinzen von Valua.\e"
MGG0120037,"\h(«Aika»)Aber……
Die Kristalle sind noch immer in Händen der
Valuaner……\e"
MGG0120038,\h(«Fina»)Ja…… allerdings……\e
MGG0120039,"\h(«Enrique»)Nun, theoretisch habt ihr Recht.\e"
MGG0120040,\h(«Aika»)Wie bitte?!\e
MGG0120041,"\h(«Enrique»)Ich habe die Kristalle. Ich habe sie gestohlen,
bevor ich euch bei den Docks getroffen habe.
Ich wollte sie vernichten……\e"
MGG0120042,"\h(«Enrique»)Aber vielleicht wäre es das Beste, wenn ich
sie euch zurückgäbe. Bitte, nehmt sie.\e"
MGG0120043,"\h(«Aika»)Wow! Enrique, du hast schon so viel für uns
getan! Hab Dank!\e"
MGG0120044,"\h(«Gilder»)He, für einen Prinzen benimmst du dich aber
sehr wie ein Luftpirat.\e"
MGG0120045,"\h(«Vyse»)Ok, startet die Motoren!!
Nehmen wir die Delphinus und hauen wir von
hier ab!!\e"
MGG0120046,\h(«Alle»)Hurra!!\e
MGG0120047,"\h( )Du hast den “Red Moon Crystal” und den
“Green Moon Crystal” wiederbekommen.\e"
MSG0120000,\h(«Vyse»)¡¿Pero qué?!\e
MSG0120001,"\h(«Enrique»)Probablemente ya os habéis dado cuenta de que
estamos en el puente de mando de un barco.\e"
MSG0120002,"\h(«Enrique»)Podéis saludar al Delphinus, el miembro más
reciente de la Armada. Mi buque insignia
personal.\e"
MSG0120003,"\h(«Enrique»)Es un acorazado pesado, pero puede rivalizar con
la velocidad de un crucero. Y está equipado con
el armamento de un buque de guerra.\e"
MSG0120004,\h(«Vyse»)¡Asombroso!\e
MSG0120005,"\h(«Enrique»)Este navío es el prototipo. Vamos a empezar a
construir una flota completa de navíos como el
Delphinus.\e"
MSG0120006,"\h(«Enrique»)Valua pretende dominar el mundo con ayuda de
estos navíos.\e"
MSG0120007,"\h(«Gilder»)Con toda una flota de navíos como éste, Valua
podría dominar el mundo sin problemas.
Sobre todo desde la caída de Nasrad.\e"
MSG0120008,"\h(«Gilder»)Pero, su Alteza…… Todavía hay algo que no me
explico.\e"
MSG0120009,"\h(«Gilder»)¿Por qué nos ayuda a huir y nos trae al puente
de mando de su buque insignia? Os habéis tomado
muchas molestias sólo para presumir……\e"
MSG0120010,"\h(«Aika»)Sí.
Gilder tiene razón.\e"
MSG0120011,\h(«Enrique»)Yo……\e
MSG0120012,"\h(«Enrique»)Quiero que os llevéis este navío……
y a mí también, con vosotros.\e"
MSG0120013,\h(«Vyse»)¡¿QUÉ?!\e
MSG0120014,\h(«Aika»)¿Es una broma?\e
MSG0120015,"\h(«Enrique»)Valua ha estado conquistando otros países,
destruyendo sus tierras y asesinando a
inocentes.\e"
MSG0120016,"\h(«Enrique»)Como Príncipe del Imperio Valuan, tengo las
manos manchadas de sangre.\e"
MSG0120017,"\h(«Enrique»)He hecho todo lo posible para convencer a la
Emperatriz y a Galcian de que Valua se equivoca,
pero no puedo convencerles de cambiar sus
métodos.\e"
MSG0120018,"\h(«Enrique»)Lo he intentado por todos los medios, pero he
fallado. No puedo detenerles.\e"
MSG0120019,"\h(«Enrique»)Ayudaros es la única forma que tengo de
redimirme.\e"
MSG0120020,"\h(«Enrique»)¡Llevadme con vosotros, por favor!
Podéis tomarme como rehén.\e"
MSG0120021,"\h(«¿Qué vas a decir?»)“Pues claro que puedes venir.”
“Lo siento, pero no podemos fiarnos de ti.”\e"
MSG0120022,"\h(«Vyse»)Pues claro que puedes venir.
El problema es…… que los Bandidos Azules no
tomamos rehenes.\e"
MSG0120023,"\h(«Vyse»)Si quieres venir con nosotros, tienes que
convertirte en uno de nosotros, en un Bandido
Azul.\e"
MSG0120024,"\h(«Vyse»)Lo siento, pero no podemos fiarnos de ti.
¿Cómo sabemos que no nos vas a traicionar?\e"
MSG0120025,"\h(«Aika»)¡Vyse! Ya nos ha salvado la vida una vez.
¡¿No has oído todo lo que nos ha contado?!
Tenemos que creerle……\e"
MSG0120026,"\h(«Fina»)Vyse……
Yo le creo.\e"
MSG0120027,"\h(«Fina»)Cuando me llevaron al palacio, le vi enfrentarse
a la Emperatriz delante de sus súbditos.
Hizo todo lo que pudo para detenerla.\e"
MSG0120028,"\h(«Fina»)Nos ha ayudado a escapar de los guardias y ahora
nos ofrece su navío. Está cometiendo traición
para ayudarnos.\e"
MSG0120029,"\h(«Fina»)Vyse, si no le llevamos con nosotros van a
ejecutarle como traidor.\e"
MSG0120030,\h(«Vyse»)……\e
MSG0120031,"\h(«Vyse»)…… Entiendo.
Pero aún queda un problema…… los Bandidos Azules
no toman rehenes.\e"
MSG0120032,"\h(«Vyse»)Si quieres navegar con nosotros tienes que
hacerlo como Bandido Azul.\e"
MSG0120033,"\h(«Enrique»)…… ¡Gracias!
¡¡Haré lo que pueda como miembro de tu equipo!!\e"
MSG0120034,"\h(«Vyse»)Creo que no hemos hecho las debidas
presentaciones. Soy Vyse de los Bandidos
Azules.\e"
MSG0120035,"\h(«Enrique»)Es un honor ser un miembro de tu tripulación,
Vyse.\e"
MSG0120036,"\h(«Aika»)Nunca me habría imaginado que navegaría en el
mismo navío que un Valuan, no digamos ya el
Príncipe de Valua.\e"
MSG0120037,"\h(«Aika»)Pero……
Los Cristales aún están en manos de los Valuan……\e"
MSG0120038,\h(«Fina»)Sí…… Tienes razón……\e
MSG0120039,"\h(«Enrique»)Bueno, técnicamente tienes razón.\e"
MSG0120040,\h(«Aika»)¡¿Qué?!\e
MSG0120041,"\h(«Enrique»)Tengo los Cristales. Los robé antes de venir al
embarcadero a por vosotros. Iba a destruirlos……\e"
MSG0120042,"\h(«Enrique»)Pero será mejor que os los devuelva.
Por favor, aceptadlos.\e"
MSG0120043,"\h(«Aika»)¡Vaya! Enrique, ya has hecho tanto por
nosotros…… ¡Gracias!\e"
MSG0120044,"\h(«Gilder»)Eh, para ser un Príncipe tu forma de actuar se
parece demasiado a la de un Bandido Azul.\e"
MSG0120045,"\h(«Vyse»)¡¡Muy bien, encended los motores!!
¡¡Vamos a sacar al Delphinus de aquí!!\e"
MSG0120046,\h(«Todos»)¡¡Sí!!\e
MSG0120047,"\h( )Has recuperado el “Cristal Rojo” y el “Cristal
Verde”.\e"
MG0130000,"\h(«Vyse»)Let's go!
Delphinus, full speed ahead!!!\e"
MG0130001,\h(«Vyse»)They sealed off the entrance!\e
MG0130002,"\h(«Gilder»)I wouldn't worry too much about the fortress. 
The spot where I blew up the cannon should be
weak.\e"
MG0130003,"\h(«Gilder»)And if this ship's got the firepower that the
Prince said, we should be able to blast our
way out.\e"
MG0130004,"\h(«Vyse»)Well, here goes!\e"
MFG0130000,"\h(«Vyse»)C'est parti !
Delphinus, en avant toute !!!\e"
MFG0130001,\h(«Vyse»)Ils ont fermé l'entrée !\e
MFG0130002,"\h(«Gilder»)Ne t'inquiète pas pour la forteresse.
La muraille doit être fragilisée là où j'ai tiré
un coup de canon.\e"
MFG0130003,"\h(«Gilder»)Si ce navire a autant de puissance de feu que le
Prince le dit, nous devrions pouvoir sortir en
bombardant un passage au canon.\e"
MFG0130004,"\h(«Vyse»)Bon, c'est parti !\e"
MGG0130000,"\h(«Vyse»)Also, los!
Delphinus, volle Kraft voraus!!!\e"
MGG0130001,\h(«Vyse»)Sie haben den Eingang versperrt!\e
MGG0130002,"\h(«Gilder»)Ich würde mich nicht allzu viel um die Festung
kümmern. Die Stelle, an der ich die Kanone
gesprengt habe, müsste ein Schwachpunkt sein.\e"
MGG0130003,"\h(«Gilder»)Und wenn das Schiff über die Feuerkraft verfügt,
von der Enrique spricht, müsste es doch möglich
sein, sich den Weg nach draußen freizuschießen.\e"
MGG0130004,"\h(«Vyse»)Na, dann wollen wir mal sehen!\e"
MSG0130000,"\h(«Vyse»)¡Vamos!
¡¡¡Delphinus, a toda máquina!!!\e"
MSG0130001,\h(«Vyse»)¡Han sellado la entrada!\e
MSG0130002,"\h(«Gilder»)Yo no me preocuparía mucho de la fortaleza.
El lugar donde hice volar el cañón debe estar en
muy mal estado.\e"
MSG0130003,"\h(«Gilder»)Y si este navío tiene la potencia que dijo el
Príncipe, seguro que podemos salir de aquí a
base de explosiones.\e"
MSG0130004,"\h(«Vyse»)¡Bueno, ahí va!\e"
"",me243a.sct
"",M0252
"",m5160000
"",e6g012
"",M0269
"",a116fg12.mld
"",M0311
"",M0311
"",M0311
"",a116fg12.mld
"",e6g013
"",M0305
"",a116fg13.mld
"",me519a.sct
"",a116fg13.mld
