Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,Sell%,Ord by 123,EU Ord by ABC,Pad 1,Buy,Pad 2,Pad 3,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
330,0x802c76f0,0x1df6e,17,Yellow MoonStone,0x1dce9,16,Piedra Amarilla,0x1df55,13,Pierre Jaune,0x1d5e6,17,Yellow MoonStone,0,4,34,0,0,0,0,0x18547,81,Ein Moon Stone vom Yellow Moon. Er kann Waffen\\ndie Kraft des Blitzes verleihen.,0x181ac,84,Piedra Lunar procedente de la Luna Amarilla.\\nOtorga a las armas el poder del rayo.,0x18294,89,Une Pierre de Lune de la Lune Jaune. Peut\\ninsuffler les pouvoirs de l'éclair aux armes.,0x17d23,88,A Moon Stone from the Yellow Moon. It can infuse\\nweapons with the powers of lightning.
331,0x802c7704,0x1df7f,17,Silver MoonStone,0x1dcf9,16,Piedra de Plata,0x1df62,16,Pierre d'Argent,0x1d5f7,17,Silver MoonStone,0,5,27,0,0,0,0,0x18598,88,Ein Moon Stone vom Silver Moon. Er kann Waffen\\ndie Kräfte von Leben und Tod verleihen.,0x18200,87,Piedra Lunar de la Luna de Plata. Otorga a las\\narmas el poder de la vida y la muerte.,0x182ed,93,Une Pierre de Lune de la Lune Argent. Peut\\ndonner les pouvoirs de vie et de mort aux armes.,0x17d7b,93,A Moon Stone from the Silver Moon. It can infuse\\nweapons with the powers of life and death.
332,0x802c7718,0x1df90,17,Unterwasseranzug,0x1dd09,15,Traje Acuático,0x1df72,11,Scaphandre,0x1d608,16,Underwater Suit,0,26,28,0,0,0,0,0x185f0,93,Durch einen Blue Moon Stone kann der Träger\\ndieses wasserdichten Anzugs unter Wasser atmen.,0x18257,88,"Este traje acuático, usando una Piedra Azul,\\npermite al usuario respirar bajo el agua.",0x1834a,98,Cette combinaison imperméable permet de respirer\\nsous l'eau à l'aide d'une Pierre de Lune Bleue.,0x17dd8,89,"Using a Blue Moon Stone, this water-proof suit\\nallows the wearer to breathe underwater."
333,0x802c7728,0x1dfa1,13,Flaschenpost,0x1dd18,5,Nota,0x1df7d,12,Message SOS,0x1d618,17,Note in a Bottle,0,12,19,0,0,0,0,0x1864d,95,"Eine Flaschenpost mit der Nachricht: “Quetya…\\nbitte sende Krieger, um uns kämpfen zu helfen.”",0x182af,85,Nota en una botella que dice: “Quetya…\\nEnvía guerreros para ayudarnos en la lucha.”,0x183ac,85,Un mot trouvé dans une bouteille disant “Quetya…\\nEnvoyez des guerriers en renfort.”,0x17e31,86,"A note found in a bottle that says, “Quetya…\\nPlease send warriors to help us fight.”"
334,0x802c773c,0x1dfae,17,Kanonenschlüssel,0x1dd1d,16,Llave del Cañón,0x1df89,16,Clé Pièce Canon,0x1d629,16,Cannon Room Key,0,24,3,0,0,0,0,0x186ac,96,Ein großer Stahlschlüssel zum Kanonenraum der\\nGrand Fortress. Er hat einen Drachen eingeprägt.,0x18304,93,Llave de acero para abrir la Sala de Cañones\\nde la Gran Fortaleza. Lleva un dragón grabado.,0x18401,99,Grande clé en acier ouvrant la Pièce du Canon de\\nla Grande Forteresse. Porte l'estampe du dragon.,0x17e87,92,"A large, steel key to the Cannon Room of the\\nGrand Fortress. It is embossed with a dragon."
335,0x802c774c,0x1dfbf,12,Schiffsplan,0x1dd2d,16,Planos de barco,0x1df99,17,Schéma du navire,0x1d639,16,Ship Schematics,0,28,26,0,0,0,0,0x1870c,94,"Entwurf für ein Schiff, das in die Great Cloud\\nSea tauchen und in den Deep Sky abheben kann.",0x18361,96,Proyecto de un barco que puede sumergirse bajo\\nel mar de Grandes Nubes e ir al Cielo Profundo.,0x18464,92,Plans permettant au navire de s'immerger sous le\\nGrand Océan de Nuages et les Profondeurs.,0x17ee3,85,Design for a ship that can submerge under the\\nGreat Cloud Sea and go into Deep Sky.
336,0x802c775c,0x1dfcb,16,Gonzales' Karte,0x1dd3d,17,Mapa de González,0x1dfaa,15,Carte Gonzales,0x1d649,14,Gonzales' Map,0,21,9,0,0,0,0,0x1876a,99,"Karte, die auf den Überresten von Gonzales gefun\\n-den wurde. Sie wurde in zwei Hälften zerrissen.",0x183c1,94,Mapa encontrado junto a los restos de González.\\nParece que el mapa fue rasgado por la mitad.,0x184c0,89,Carte trouvée sur les restes du corps de\\nGonzales. Elle semble avoir été déchirée en 2.,0x17f38,88,Map found on the remains of Gonzales. It appears\\nthat the map has been ripped in half.
337,0x802c776c,0x1dfdb,13,Pedros Karte,0x1dd4e,14,Mapa de Pedro,0x1dfb9,15,Carte de Pedro,0x1d657,12,Pedro's Map,0,22,20,0,0,0,0,0x187cd,96,"Karte, die von Pedro kam, als er in Nasrad war.\\nSie scheint in zwei Hälften zerrissen zu sein.",0x1841f,82,Mapa entregado por Pedro en Nasrad.\\nParece que el mapa fue rasgado por la mitad.,0x18519,90,Carte envoyée par Pedro quand il était à Nasrad.\\nElle semble avoir été déchirée en deux.,0x17f90,91,Map received from Pedro while in Nasrad. It\\nappears that the map has been ripped in half.
338,0x802c7778,0x1dfe8,14,ALFONSO'S KEY,0x1dd5c,14,ALFONSO'S KEY,0x1dfc8,14,ALFONSO'S KEY,0x1d663,14,ALFONSO'S KEY,0,39,35,0,0,0,0,0x1882d,8,CUT.\\n ,0x18471,8,CUT.\\n ,0x18573,8,CUT.\\n ,0x17feb,13,CUT.\\n------
339,0x802c778c,0x1dff6,15,Golden Man Eye,0x1dd6a,15,Ojo del Hombre,0x1dfd6,16,Oeil Homme Doré,0x1d671,17,Golden Man's Eye,0,16,8,0,0,0,0,0x18835,95,"Ein herrliches orangefarbenes Juwel, das in das\\nAuge der Golden-Man-Statue eingelassen wurde.",0x18479,93,Bella gema de color naranja que estaba engarzada\\nen el ojo de la estatua del Hombre Dorado.,0x1857b,91,Belle pierre précieuse orange trouvée incrustée\\ndans l'oeil de la statue de l'Homme Doré.,0x17ff8,74,"A beautiful, orange gem found set into the eye\\nof the Golden Man statue."
340,0x802c77a0,0x1e005,15,Great Bird Eye,0x1dd79,15,Ojo del Pájaro,0x1dfe6,17,Oeil GrandOiseau,0x1d682,17,Great Bird's Eye,0,17,11,0,0,0,0,0x18894,80,"Ein herrliches blaues Juwel, das in das Auge\\ndes Great Bird eingelassen wurde.",0x184d6,83,Preciosa gema de color azul que se encontró\\nincrustada en el ojo del Gran Pájaro.,0x185d6,77,Belle pierre précieuse bleue trouvée incrustée\\ndans l'oeil du Grand Oiseau.,0x18042,66,"A beautiful, blue gem found set into the eyes\\nof the Great Bird."
341,0x802c77b4,0x1e014,17,Roher Moon Stone,0x1dd88,11,Roca Lunar,0x1dff7,17,Pierre Lune Brut,0x1d693,15,Raw Moon Stone,0,11,23,0,0,0,0,0x188e4,81,"Ein Fels mit Moon Stone-Erz, auf Shrine Island\\ngefunden. Im Rohzustand nutzlos.",0x18529,92,Roca con Piedra Lunar encontrada en la Isla del\\nTemplo. Debe ser refinada antes de usarse.,0x18623,93,Rocher contenant du minerai de Pierre de Lune\\ntrouvé sur l'île du Temple. Doit être traité.,0x18084,83,A rock containing Moon Stone ore found on Shrine\\nIsland. Unusable unless refined.
342,0x802c77c4,0x1e025,14,Daccats Münze,0x1dd93,17,Moneda de Daccat,0x1e008,16,Pièce de Daccat,0x1d6a2,14,Daccat's Coin,100,23,5,0,20000,0,0,0x18935,98,"Goldmünze, die vom großen Luftpiraten Daccat ge-\\nprägt wurde, trägt sein Symbol auf einer Seite.",0x18585,86,Moneda de oro acuñada por el gran Pirata Aéreo\\nDaccat. Lleva su símbolo en una cara.,0x18680,91,"Pièce d'or monnayée par le grand pirate Daccat,\\nelle porte son symbole sur une des faces.",0x180d7,85,"A gold coin minted by the great Air Pirate\\nDaccat, it bears his symbol on one side."
343,0x802c77d4,0x1e033,10,SISIKABAB,0x1dda4,10,SISIKABAB,0x1e018,10,SISIKABAB,0x1d6b0,10,SISIKABAB,0,35,-1,0,0,0,0,0x18997,12,CONVERT.\\n ,0x185db,12,CONVERT.\\n ,0x186db,12,CONVERT.\\n ,0x1812c,17,CONVERT.\\n------
344,0x8034fbd0,0x1e03d,6,Kabal,0x1ddae,6,Kabal,0x1e022,6,Kabal,0x1d6ba,6,Kabal,0,32,15,0,0,0,0,0x189a3,74,"Fleisch eines Wüsten-Lasttiers, allseits als\\nsehr schmackhaft angesehen.",0x185e7,77,Carne de un animal de carga del desierto.\\nMuchos la consideren sabrosísima.,0x186e7,89,"La viande d'une bête de somme du désert,\\ncertains trouvent qu'elle est très savoureuse.",0x1813d,82,"The meat of a desert beast of burden, it is\\nconsidered by many to be very tasty."
345,0x8034fbd8,0x1e043,7,Gentum,0x1ddb4,7,Gentum,0x1e028,7,Gentum,0x1d6c0,7,Gentum,0,33,7,0,500,0,0,0x189ed,98,Aromatische Frucht aus dem nördlichen Nasr. Ge-\\nheimzutat bei der Zubereitung von Kabal-Spießen.,0x18634,88,Fragante fruta del Norte de Nasrad. Es un\\ningrediente secreto de la brocheta de Kabal.,0x18740,92,Un fruit parfumé du nord de Nasr. Ingrédient\\nsecret pour préparer les brochettes de Kabal.,0x1818f,86,A fragrant fruit from northern Nasr.\\nSecret ingredient used in making Kabal Skewers.
346,0x8034fbe0,0x1e04a,6,Khale,0x1ddbb,6,Khale,0x1e02f,6,Khale,0x1d6c7,6,Khale,0,34,16,0,0,0,0,0x18a4f,75,"Teures Gewürz, das im Osten angebaut wird.\\nGeheimzutat von Kabal-Spießen.",0x1868c,93,"Preciada especia, que crece en el Este y es\\nun ingrediente secreto de la Brocheta de Kabal.",0x1879c,94,Épice onéreuse cultivée dans l'Est. Ingrédient\\nsecret pour préparer les brochettes de Kabal.,0x181e5,88,"An expensive spice, grown in the East.\\nSecret ingredient used in making Kabal Skewers."
347,0x802c77e0,0x1e050,14,CHO SISIKABAB,0x1ddc1,14,CHO SISIKABAB,0x1e035,14,CHO SISIKABAB,0x1d6cd,14,CHO SISIKABAB,0,36,-1,0,0,0,0,0x18a9a,12,CONVERT.\\n ,0x186e9,12,CONVERT.\\n ,0x187fa,12,CONVERT.\\n ,0x1823d,17,CONVERT.\\n------
348,0x802c77f4,0x1e05e,11,Valua-Pass,0x1ddcf,17,Pasaporte Valuan,0x1e043,17,Passeport Valuan,0x1d6db,16,Valuan Passport,0,13,29,0,0,0,0,0x18aa6,89,"Pass, der für den Zugang zum Valua-Reich not-\\nwendig ist. Geschenk eines Nasr-Händlers.",0x186f5,86,Pasaporte necesario para entrar en el Imperio\\nValuan. Un regalo de un mercader Nasr.,0x18806,88,Passeport nécéssaire pour entrer dans l'empire\\nValuan. Offert par un marchand Nasrean.,0x1824e,91,A passport necessary to enter the Valuan Empire.\\nReceived from a Nasr merchant as a gift.
349,0x802c7804,0x1e069,17,Moon Stone-Sprit,0x1dde0,15,Gasolina Lunar,0x1e054,17,Pierre Carburant,0x1d6eb,16,Moon Stone Fuel,0,15,18,0,0,0,0,0x18aff,83,Verfeinerter Moon Stone zum Antrieb eines\\nSchiffes. Hans gab ihn Vyse in Horteka.,0x1874b,93,Piedra Lunar refinada para usarse como gasolina\\nde navío que Hans regaló a Vyse en Horteka.,0x1885e,98,Pierre de Lune raffinée pour servir de carburant\\naux navires. Hans l'a offerte à Vyse à Horteka.,0x182a9,98,A Moon Stone refined for use as fuel for a ship.\\nGiven to Vyse by Hans when they met in Horteka.
350,0x802c7814,0x1e07a,13,Claras Börse,0x1ddef,17,Cartera de Clara,0x1e065,16,Bourse de Clara,0x1d6fb,14,Clara's Purse,0,19,4,0,0,0,0,0x18b52,69,"Hellrosa Börse mit Geld, das Aika und Fina von\\nClara gegeben wurde.",0x187a8,78,Cartera rosa brillante que guarda el dinero\\nque Clara entrega a Aika y Fina.,0x188c0,87,Un porte-monnaie rose fuchsia contenant de\\nl'argent que Clara a donné à Aika et Fina.,0x1830b,71,A bright pink purse containing money given to\\nAika and Fina by Clara.
351,0x802c7824,0x1e087,17,Book of Polarity,0x1de00,15,Libro del Polo,0x1e075,16,Livre Polarités,0x1d709,17,Book of Polarity,0,27,2,0,0,0,0,0x18b97,98,"Alter Yafutoma-Text, der den Prozess beschreibt,\\ndurch den Schiffe hoch und tief fliegen können.",0x187f6,98,Viejo texto Yafutoman que contiene instrucciones\\npara conducir navíos a altas y bajas latitudes.,0x18917,93,Vieux texte Yafutoman décrivant les techniques\\nde vol à très haute et très basse altitudes.,0x18352,98,An old Yafutoman text explaining the process of\\nenabling ships to fly to high and low altitudes.
352,0x802c7838,0x1e098,9,Velorium,0x1de0f,9,Velorium,0x1e085,9,Velorium,0x1d71a,9,Velorium,0,29,30,0,0,0,0,0x18bf9,93,"Seltene Art von Metall, in Deep Sky anzutreffen.\\nEin Vielfaches stärker als normaler Stahl.",0x18858,92,Extraño tipo de metal procedente del Cielo\\nProfundo. Es mucho más resistente que el acero.,0x18974,92,Type de métal rare trouvé dans les Profondeurs.\\nBien plus solide que de l'acier ordinaire.,0x183b4,86,A rare type of metal found in Deep Sky.\\nIt is many times stronger than normal steel.
353,0x802c7838,0x1e0a1,9,Velorium,0x1de18,9,Velorium,0x1e08e,9,Velorium,0x1d723,9,Velorium,0,30,31,0,0,0,0,0x18c56,96,"Seltene Art von Metall, in Deep Sky anzutreffen.\\nUm ein Vielfaches stärker als normaler Stahl.",0x188b4,93,Extraño tipo de metal procedente del Cielo\\nProfundo. Es mucho más resistente que el acero……,0x189d0,89,Type de métal rare trouvé dans les Profondeurs.\\nBien plus solide que l'acier ordinaire.,0x1840a,86,A rare type of metal found in Deep Sky.\\nIt is many times stronger than normal steel.
354,0x802c7844,0x1e0aa,13,SAISYUHEIKI3,0x1de21,13,SAISYUHEIKI3,0x1e097,13,SAISYUHEIKI3,0x1d72c,13,SAISYUHEIKI3,0,37,-1,0,0,0,0,0x18cb6,8,CUT.\\n ,0x18911,8,CUT.\\n ,0x18a29,8,CUT.\\n ,0x18460,13,CUT.\\n------
355,0x802c7850,0x1e0b7,15,Hafenschlüssel,0x1de2e,13,Puerto Clave,0x1e0a4,12,Clé du Port,0x1d739,11,Harbor Key,0,25,14,0,0,0,0,0x18cbe,88,Kleiner Messingschlüssel zum Kaiserlichen Hafen\\nvon Valua. Er hat eine Drachenprägung.,0x18919,93,Pequeña llave de bronce para acceder al puerto\\ndel Imperio Valuan. Tiene un dragón tallado.,0x18a31,81,Petite clé en cuivre du port Impérial Valuan.\\nElle porte l'estampe d'un dragon.,0x1846d,83,"A small, brass key to the Valuan Imperial\\nharbor. It has a dragon embossed on it."
356,0x802c785c,0x1e0c6,16,Magische Kanone,0x1de3b,13,Cañón Mágico,0x1e0b0,14,Canon Magique,0x1d744,13,Magic Cannon,0,14,17,0,0,0,0,0x18d16,78,"Ein Kanonenaufsatz, durch den man Schüsse mit\\nmagischer Kraft abfeuern kann.",0x18976,85,Artefacto que se añade a los cañones para\\nefectuar disparos fortalecidos con Magia.,0x18a82,89,Dispositif attaché aux canons qui leur permet\\nde tirer des coups aux pouvoirs magiques.,0x184c0,83,A device attached to cannons that allows them\\nto fire shots empowered with magic.
357,0x8034fbe8,0x1e0d6,5,Lohn,0x1de48,9,Salarios,0x1e0be,9,Salaires,0x1d751,6,Wages,0,20,32,0,0,0,0,0x18d64,91,"Enthält die 5.000 Goldstücke, die Aika und Fina\\nin der Taverne von Nasrad verdient haben.",0x189cb,96,Contiene las 5.000 unidades de oro que Fina y\\nAika ganaron trabajando en la taberna de Nasrad.,0x18adb,93,Contient 5 000 pièces d'or qu'Aika et Fina ont\\ngagné en travaillant à la taverne de Nasrad.,0x18513,90,"Contains the 5,000 gold that Aika and Fina\\nearned while working at the tavern in Nasrad."
358,0x802c786c,0x1e0db,15,Grapor-Fleisch,0x1de51,16,Carne de Grapor,0x1e0c7,16,Chair de Grapor,0x1d757,12,Grapor Meat,0,18,10,0,0,0,0,0x18dbf,98,"Fleisch eines seltenen Fisches, des Grapor. Man\\nfindet ihn nur in den Wäldern der Crescent Isle.",0x18a2b,89,"Carne de un extraño pez, el Grapor, que vive\\nsólo en los bosques de la Isla de la Luna.",0x18b38,92,"Chair du Grapor, un poisson rare. Ce poisson\\nse trouve dans les forêts de l'île Croissant.",0x1856d,95,"Meat from the rare fish, the Grapor. This fish\\nis only found in the forests of Crescent Isle."
359,0x802c7878,0x1e0ea,17,Domingos Papiere,0x1de61,12,Certificado,0x1e0d7,17,Titre de Domingo,0x1d763,16,Domingo's Title,0,31,6,0,0,0,0,0x18e21,88,"Ein  Zertifikat von Domingo, in dem er Vyse als\\n“Hervorragenden Schatzjäger” ausweist.",0x18a84,90,Un certificado de Domingo reconociendo a Vyse\\ncomo “Extraordinario buscador de tesoros”.,0x18b94,93,Certificat de Domingo proclamant Vyse comme\\nétant un “Extraordinaire Chercheur de Trésors.”,0x185cc,87,A certificate from Domingo proclaiming Vyse to\\nbe a “Treasure Hunter Extraordinaire.”
360,0x802c7888,0x1e0fb,9,Moonfish,0x1de6d,10,Pez Lunar,0x1e0e8,13,Poisson-lune,0x1d773,9,Moonfish,0,43,-2,0,0,0,0,0x18e79,89,"Ein Fisch, der fürs bloße Auge unsichtbar ist. \\nMarias Vogel scheint ihn sehr zu mögen.",0x18ade,89,Un pez imperceptible a la vista. Parece que es\\nla comida preferida del pájaro de Maria.,0x18bf1,93,Poisson invisible à l'œil nu. Cela semble être\\nla nourriture préférée de l'oiseau de Maria.,0x18623,89,A fish that is invisible to the naked eye. It\\nseems to be Maria's bird's favorite food.
361,0x802c7894,0x1e104,11,Black Spot,0x1de77,12,Punto Negro,0x1e0f5,11,Point Noir,0x1d77c,11,Black Spot,0,39,-6,0,0,0,0,0x18ed2,97,"Notiz in roter Tinte auf rabenschwarzem Papier.\\n""Ich warte westlich von Sailors Island-Piastol""",0x18b37,96,"Nota escrita con tinta roja en papel negro. ""Te\\nespero, oeste de la Isla Los Marinos. Piastol""",0x18c4e,90,"Note à l'encre rouge sur papier noir. ""J'attends\\nà l'ouest de l'Île des Marins. Piastol""",0x1867c,96,"A note written in red ink, on jet black paper.\\n""I await you, west of Sailors' Island -Piastol"""
362,0x802c7894,0x1e10f,11,Black Spot,0x1de83,12,Punto Negro,0x1e100,11,Point Noir,0x1d787,11,Black Spot,0,40,-5,0,0,0,0,0x18f33,98,"Notiz in roter Tinte auf rabenschwarzem Papier.\\n""Ich warte am Ort, an dem wir kämpften- Piastol""",0x18b97,88,"Nota escrita con tinta roja en papel negro. ""Te\\nespero en donde nos peleamos. Piastol""",0x18ca8,91,"Note à l'encre rouge sur papier noir. ""J'attends \\nlà où nous nous sommes battus. Piastol""",0x186dc,95,"A note written in red ink, on jet black paper.\\n""I await you at the place we fought. -Piastol"""
363,0x802c7894,0x1e11a,11,Black Spot,0x1de8f,12,Punto Negro,0x1e10b,11,Point Noir,0x1d792,11,Black Spot,0,41,-4,0,0,0,0,0x18f95,94,"Notiz in roter Tinte auf rabenschwarzem Papier.\\n""Ich warte am selben Ort auf dich - Piastol""",0x18bef,84,"Nota escrita con tinta roja en papel negro. ""Te\\nespero en el mismo lugar. Piastol""",0x18d03,92,"Note rédigée à l'encre rouge sur papier noir de\\njais. ""J'attends au même endroit. Piastol""",0x1873b,93,"A note written in red ink, on jet black paper.\\n""I await you at the same location. -Piastol"""
364,0x802c7894,0x1e125,11,Black Spot,0x1de9b,12,Punto Negro,0x1e116,11,Point Noir,0x1d79d,11,Black Spot,0,42,-3,0,0,0,0,0x18ff3,94,"Notiz in roter Tinte auf rabenschwarzem Papier.\\n""Ich warte am selben Ort auf dich - Piastol""",0x18c43,84,"Nota escrita con tinta roja en papel negro. ""Te\\nespero en el mismo lugar. Piastol""",0x18d5f,92,"Note rédigée à l'encre rouge sur papier noir de\\njais. ""J'attends au même endroit. Piastol""",0x18798,93,"A note written in red ink, on jet black paper.\\n""I await you at the same location. -Piastol"""
365,0x802c78a0,0x1e130,11,DUMMYCLEAR,0x1dea7,11,DUMMYCLEAR,0x1e121,11,DUMMYCLEAR,0x1d7a8,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x19051,9,DUMMY\\n ,0x18c97,9,DUMMY\\n ,0x18dbb,9,DUMMY\\n ,0x187f5,14,DUMMY\\n------
366,0x802c78a0,0x1e13b,11,DUMMYCLEAR,0x1deb2,11,DUMMYCLEAR,0x1e12c,11,DUMMYCLEAR,0x1d7b3,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x1905a,9,DUMMY\\n ,0x18ca0,9,DUMMY\\n ,0x18dc4,9,DUMMY\\n ,0x18803,14,DUMMY\\n------
367,0x802c78a0,0x1e146,11,DUMMYCLEAR,0x1debd,11,DUMMYCLEAR,0x1e137,11,DUMMYCLEAR,0x1d7be,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x19063,9,DUMMY\\n ,0x18ca9,9,DUMMY\\n ,0x18dcd,9,DUMMY\\n ,0x18811,14,DUMMY\\n------
